Year,Month,Monthly Sum
1980,1,6.71986567808e-09
1980,2,6.71869382072e-09
1980,3,6.71763338085e-09
1980,4,6.716440800970001e-09
1980,5,6.715344180390001e-09
1980,6,6.714176169940001e-09
1980,7,6.712118894590001e-09
1980,8,6.7088304711499995e-09
1980,9,6.705593592e-09
1980,10,6.702351493989999e-09
1980,11,6.6991110904900004e-09
1980,12,6.6958713476799995e-09
1981,1,6.692581027309998e-09
1981,2,6.689447733920002e-09
1981,3,6.686323305529998e-09
1981,4,6.683082630880002e-09
1981,5,6.67984005671e-09
1981,6,6.676602874959998e-09
1981,7,6.651230347520001e-09
1981,8,6.596587818379999e-09
1981,9,6.54269093542e-09
1981,10,6.4887976584700005e-09
1981,11,6.434900967270002e-09
1981,12,6.3810117502499994e-09
1982,1,6.32623697659e-09
1982,2,6.27410776541e-09
1982,3,6.2219822218400004e-09
1982,4,6.1680905553e-09
1982,5,6.1141981242800006e-09
1982,6,6.06030510386e-09
1982,7,6.027982413339999e-09
1982,8,6.02408841304e-09
1982,9,6.020420028629999e-09
1982,10,6.016744626750001e-09
1982,11,6.01307863833e-09
1982,12,6.009410349450001e-09
1983,1,6.0056739136799994e-09
1983,2,6.00212858807e-09
1983,3,5.998567673360001e-09
1983,4,5.99491040229e-09
1983,5,5.99123900856e-09
1983,6,5.98756701487e-09
1983,7,5.997098846079999e-09
1983,8,6.0250513931200006e-09
1983,9,6.05267605639e-09
1983,10,6.080299774569999e-09
1983,11,6.10792564829e-09
1983,12,6.135548129259999e-09
1984,1,6.16362655509e-09
1984,2,6.190798495520001e-09
1984,3,6.2179700539e-09
1984,4,6.245597177919999e-09
1984,5,6.2732175915399996e-09
1984,6,6.30084186462e-09
1984,7,6.289764736299999e-09
1984,8,6.229601663159998e-09
1984,9,6.17022643253e-09
1984,10,6.110846584969999e-09
1984,11,6.05146727281e-09
1984,12,5.99208909104e-09
1985,1,5.93173881276e-09
1985,2,5.874302294989998e-09
1985,3,5.816870399169999e-09
1985,4,5.757487608989998e-09
1985,5,5.698112694979998e-09
1985,6,5.638742683499999e-09
1985,7,5.592486974109999e-09
1985,8,5.562596677799999e-09
1985,9,5.533257435839999e-09
1985,10,5.5039216576400005e-09
1985,11,5.47459138783e-09
1985,12,5.4452527018900014e-09
1986,1,5.415434211359999e-09
1986,2,5.38706316765e-09
1986,3,5.35869631095e-09
1986,4,5.3293615921e-09
1986,5,5.300026953689999e-09
1986,6,5.2706874945600005e-09
1986,7,5.251864465059999e-09
1986,8,5.24683761947e-09
1986,9,5.241971963250001e-09
