Year,Month,OCEMAN Monthly Sum
1980,1,1.1848155541509e-08
1980,2,1.1846989465972999e-08
1980,3,1.1845766266152e-08
1980,4,1.1844551088255e-08
1980,5,1.1843323738917004e-08
1980,6,1.1842125780110998e-08
1980,7,1.1861640755557996e-08
1980,8,1.1907723927411003e-08
1980,9,1.1953160063893e-08
1980,10,1.199859003053e-08
1980,11,1.2044023543878002e-08
1980,12,1.2089459490014e-08
1981,1,1.2135646926343001e-08
1981,2,1.2179591930532004e-08
1981,3,1.2223529989121002e-08
1981,4,1.2268965562111997e-08
1981,5,1.2314409779803998e-08
1981,6,1.2359842396231e-08
1981,7,1.2371872335321999e-08
1981,8,1.2340561512568002e-08
1981,9,1.2309568411427e-08
1981,10,1.2278572315567004e-08
1981,11,1.2247573622805998e-08
1981,12,1.2216571786638999e-08
1982,1,1.2185067428900003e-08
1982,2,1.2155089684505996e-08
1982,3,1.2125106832289e-08
1982,4,1.2094103845410001e-08
1982,5,1.2063101972110998e-08
1982,6,1.2032105918749e-08
1982,7,1.2022321497872e-08
1982,8,1.2040855101405994e-08
1982,9,1.2059258583508e-08
1982,10,1.2077645513455e-08
1982,11,1.2096040029178e-08
1982,12,1.2114432476625002e-08
1983,1,1.2133141526229001e-08
1983,2,1.2150928576959003e-08
1983,3,1.2168726158878001e-08
1983,4,1.2187111245153999e-08
1983,5,1.2205509034075001e-08
1983,6,1.2223907182435001e-08
1983,7,1.2249395923804001e-08
1983,8,1.2285115660891997e-08
1983,9,1.2320327738011001e-08
1983,10,1.2355542244904998e-08
1983,11,1.2390749260863001e-08
1983,12,1.2425968021500004e-08
1984,1,1.2461761752380006e-08
1984,2,1.2496391273603003e-08
1984,3,1.2531026984982e-08
1984,4,1.2566237275123e-08
1984,5,1.2601452118796e-08
1984,6,1.2636663759706004e-08
1984,7,1.2634967823909e-08
1984,8,1.2586564387751004e-08
1984,9,1.2538777269783e-08
1984,10,1.2490991639734e-08
1984,11,1.2443197282221001e-08
1984,12,1.2395407188419998e-08
1985,1,1.2346826880871e-08
1985,2,1.2300607665968e-08
1985,3,1.2254392385546001e-08
1985,4,1.2206599134605001e-08
1985,5,1.2158804783505e-08
