Year,Month,Monthly Sum
1980,1,3.158805747505e-07
1980,2,3.147535101112e-07
1980,3,3.136285290412001e-07
1980,4,3.1249088687250005e-07
1980,5,3.1134716090369994e-07
1980,6,3.1020439798190005e-07
1980,7,3.0929365702790006e-07
1980,8,3.086310303445e-07
1980,9,3.0797447337299996e-07
1980,10,3.073061226227999e-07
1980,11,3.066493123833e-07
1980,12,3.059943389943999e-07
1981,1,3.0532450089700006e-07
1981,2,3.046908430572e-07
1981,3,3.040593227311001e-07
1981,4,3.034126333863999e-07
1981,5,3.027600453486999e-07
1981,6,3.021078878809e-07
1981,7,3.007996481663001e-07
1981,8,2.985820038112e-07
1981,9,2.963911450872e-07
1981,10,2.9418820047190005e-07
1981,11,2.9199654537660004e-07
1981,12,2.898070331315e-07
1982,1,2.875772967975999e-07
1982,2,2.8545938693229995e-07
1982,3,2.833429535993e-07
1982,4,2.811618844442999e-07
1982,5,2.789748542533e-07
1982,6,2.76788225106e-07
1982,7,2.755008066975e-07
1982,8,2.7536754609379995e-07
1982,9,2.7523768134580006e-07
1982,10,2.7509560013369996e-07
1982,11,2.7496502034359994e-07
1982,12,2.7483590941119995e-07
1983,1,2.7469976128710004e-07
1983,2,2.745752801152e-07
1983,3,2.744519337964e-07
1983,4,2.743316461620999e-07
1983,5,2.742053404845999e-07
1983,6,2.7407941516719993e-07
1983,7,2.741463568931e-07
1983,8,2.74448375645e-07
1983,9,2.7474120325089995e-07
1983,10,2.750220467596e-07
1983,11,2.753144410738e-07
1983,12,2.7561015700280003e-07
1984,1,2.7591966650909995e-07
1984,2,2.762106860518e-07
1984,3,2.7650224953469995e-07
1984,4,2.7680368472170004e-07
1984,5,2.771004911271001e-07
1984,6,2.7739822748430004e-07
1984,7,2.774887790032e-07
1984,8,2.772854182653999e-07
1984,9,2.7707739978579996e-07
1984,10,2.768580717398e-07
1984,11,2.7665085165030006e-07
1984,12,2.764441001272e-07
1985,1,2.7623062391969997e-07
1985,2,2.76034545621e-07
1985,3,2.7583863948790003e-07
1985,4,2.756395527026e-07
1985,5,2.754379753821e-07
1985,6,2.752360170296e-07
1985,7,2.751000370215999e-07
1985,8,2.750167502789999e-07
1985,9,2.7492830592300003e-07
1985,10,2.748300912652e-07
1985,11,2.7474216649989995e-07
1985,12,2.7465599602709995e-07
1986,1,2.745638711573e-07
1986,2,2.744828357106e-07
1986,3,2.7440215537030004e-07
1986,4,2.7432203059519993e-07
1986,5,2.742405142862e-07
1986,6,2.741603506909001e-07
1986,7,2.740472987344999e-07
1986,8,2.738603842355e-07
1986,9,2.7366917128810004e-07
1986,10,2.7346900156559995e-07
1986,11,2.7327946861359993e-07
1986,12,2.730907245200999e-07
1987,1,2.728925125989e-07
1987,2,2.7271391243540004e-07
1987,3,2.725342751934999e-07
1987,4,2.7235150952479996e-07
1987,5,2.7216805811260004e-07
1987,6,2.7198672968379994e-07
1987,7,2.7233062781150013e-07
1987,8,2.7338065021789997e-07
1987,9,2.744106540469999e-07
1987,10,2.754345360226999e-07
1987,11,2.764672864589e-07
1987,12,2.775003848199999e-07
1988,1,2.7854348988170006e-07
1988,2,2.7956554854369997e-07
1988,3,2.8058546142650004e-07
1988,4,2.816244456694999e-07
1988,5,2.826640723764e-07
1988,6,2.8370746951930004e-07
1988,7,2.8401077570360006e-07
1988,8,2.8336181273679995e-07
1988,9,2.827118129586e-07
1988,10,2.8205714220960003e-07
1988,11,2.814123007609001e-07
1988,12,2.8076677819769993e-07
1989,1,2.8010207530520004e-07
1989,2,2.7948492902820005e-07
1989,3,2.788638076823e-07
1989,4,2.7822400980719995e-07
1989,5,2.77585609914e-07
1989,6,2.769511030537e-07
1989,7,2.759698777625e-07
1989,8,2.7450235202379997e-07
1989,9,2.73047622294e-07
1989,10,2.7159039103090003e-07
1989,11,2.701412452281999e-07
1989,12,2.686898547788999e-07
1990,1,2.6720745522500006e-07
1990,2,2.658133002781999e-07
1990,3,2.6441538416820006e-07
