Year,Month,SO4EMAN Monthly Sum
1980,1,1.4842363035599999e-08
1980,2,1.4790574783810001e-08
1980,3,1.4738804641360004e-08
1980,4,1.4686164811899995e-08
1980,5,1.4633547703589997e-08
1980,6,1.4580911883099999e-08
1980,7,1.4538386684909999e-08
1980,8,1.4507950787589999e-08
1980,9,1.447805376811e-08
1980,10,1.4448172765530001e-08
1980,11,1.4418276638960003e-08
1980,12,1.4388388472840002e-08
1981,1,1.4358001668600001e-08
1981,2,1.432908868377e-08
1981,3,1.4300173137460002e-08
1981,4,1.4270291216389998e-08
1981,5,1.424039833511e-08
1981,6,1.421050745344e-08
1981,7,1.4149512893550002e-08
1981,8,1.4046954880729998e-08
1981,9,1.3945876512829998e-08
1981,10,1.3844777976529995e-08
1981,11,1.3743717012820002e-08
1981,12,1.364260714702e-08
1982,1,1.3539897752879999e-08
1982,2,1.3442105971590003e-08
1982,3,1.3344333843610002e-08
1982,4,1.3243251887280001e-08
1982,5,1.3142168083219998e-08
1982,6,1.3041094002429993e-08
1982,7,1.298104411177e-08
1982,8,1.2975172463809997e-08
1982,9,1.2969697777049999e-08
1982,10,1.2964199468819998e-08
1982,11,1.2958713629940001e-08
1982,12,1.2953237119920004e-08
1983,1,1.2947650792909996e-08
1983,2,1.294237807357e-08
1983,3,1.29370626768e-08
1983,4,1.2931597014120003e-08
1983,5,1.2926096453549999e-08
1983,6,1.2920596414550002e-08
1983,7,1.292340435631e-08
1983,8,1.2937702151990003e-08
1983,9,1.2951829458610002e-08
1983,10,1.2965999460760003e-08
1983,11,1.298011096502e-08
1983,12,1.2994269594399998e-08
1984,1,1.300863807824e-08
1984,2,1.3022523600019997e-08
1984,3,1.303644671022e-08
1984,4,1.3050596594919995e-08
1984,5,1.3064728501020002e-08
1984,6,1.30788825331e-08
1984,7,1.3082657534560002e-08
1984,8,1.307357004429e-08
1984,9,1.306451340019e-08
1984,10,1.305549412064e-08
1984,11,1.3046397298409997e-08
1984,12,1.3037381958889998e-08
1985,1,1.30282352313e-08
1985,2,1.3019448145370004e-08
1985,3,1.3010722445699999e-08
1985,4,1.3001615526149998e-08
1985,5,1.2992602337110004e-08
1985,6,1.2983559979559999e-08
1985,7,1.2976618337920004e-08
1985,8,1.297230504075e-08
1985,9,1.2968091420979997e-08
1985,10,1.296383628858e-08
1985,11,1.2959615912150001e-08
1985,12,1.2955388869330001e-08
1986,1,1.2951088106889999e-08
1986,2,1.2947002192349998e-08
1986,3,1.294290075826e-08
1986,4,1.2938677066220002e-08
1986,5,1.2934447208010002e-08
1986,6,1.2930209889579999e-08
1986,7,1.2923912095260003e-08
1986,8,1.2914827329759998e-08
1986,9,1.2905849507339999e-08
1986,10,1.2896864368869998e-08
1986,11,1.2887886452769998e-08
1986,12,1.2878905934819998e-08
1987,1,1.2869770430040002e-08
1987,2,1.2861102647299999e-08
1987,3,1.2852417840299999e-08
1987,4,1.2843438990680003e-08
1987,5,1.2834453425520002e-08
1987,6,1.2825470624829993e-08
1987,7,1.2840427527479997e-08
1987,8,1.2888735074979997e-08
1987,9,1.2936460099370001e-08
1987,10,1.2984187034220003e-08
1987,11,1.3031931376120004e-08
1987,12,1.3079651388640003e-08
1988,1,1.312815661105e-08
1988,2,1.317511380459e-08
1988,3,1.3222072951930001e-08
1988,4,1.3269792811880002e-08
1988,5,1.3317516184679998e-08
1988,6,1.33652507245e-08
1988,7,1.337836693376e-08
1988,8,1.3347905710550002e-08
1988,9,1.3317757711619994e-08
1988,10,1.3287597045030002e-08
1988,11,1.3257446992309997e-08
1988,12,1.3227298718859993e-08
1989,1,1.3196683785629997e-08
1989,2,1.316754045138e-08
1989,3,1.313836616511e-08
1989,4,1.3108221881730001e-08
1989,5,1.3078069456720002e-08
1989,6,1.304795132846e-08
1989,7,1.3001500326539998e-08
1989,8,1.2933041754609998e-08
1989,9,1.2865585349089999e-08
1989,10,1.279815779735e-08
1989,11,1.2730707275890002e-08
1989,12,1.266325072123e-08
1990,1,1.2594712309389998e-08
1990,2,1.25294770116e-08
1990,3,1.2464233935070001e-08
1990,4,1.2396797323430003e-08
1990,5,1.2329349086799995e-08
1990,6,1.2261906468310002e-08
1990,7,1.2201222077150002e-08
1990,8,1.214865556197e-08
1990,9,1.2096957521360002e-08
1990,10,1.204527141508e-08
