Year,Month,BCEMAN Monthly Sum,OCEMAN Monthly Sum,SO2EMAN Monthly Sum,SO4EMAN Monthly Sum
1980,1,6.71986567808e-09,1.1848155541509e-08,3.158805747505e-07,1.48423630356e-08
1980,2,6.7186938207200005e-09,1.1846989465973e-08,3.147535101112e-07,1.479057478381e-08
1980,3,6.71763338085e-09,1.1845766266151998e-08,3.136285290412001e-07,1.4738804641360003e-08
1980,4,6.716440800970002e-09,1.1844551088255e-08,3.1249088687250005e-07,1.4686164811899995e-08
1980,5,6.71534418039e-09,1.1843323738917004e-08,3.113471609037e-07,1.4633547703589997e-08
1980,6,6.714176169940001e-09,1.1842125780110998e-08,3.1020439798190005e-07,1.45809118831e-08
1980,7,6.71211889459e-09,1.1861640755557996e-08,3.092936570279001e-07,1.4538386684909999e-08
1980,8,6.7088304711499995e-09,1.1907723927411003e-08,3.086310303445e-07,1.450795078759e-08
1980,9,6.7055935920000006e-09,1.1953160063893001e-08,3.07974473373e-07,1.4478053768110002e-08
1980,10,6.702351493989999e-09,1.199859003053e-08,3.0730612262279985e-07,1.444817276553e-08
1980,11,6.69911109049e-09,1.2044023543878002e-08,3.066493123833e-07,1.4418276638960004e-08
1980,12,6.69587134768e-09,1.2089459490013999e-08,3.0599433899439986e-07,1.4388388472840002e-08
1981,1,6.692581027309998e-09,1.2135646926343e-08,3.053245008970001e-07,1.43580016686e-08
1981,2,6.689447733920002e-09,1.2179591930532004e-08,3.0469084305720003e-07,1.432908868377e-08
1981,3,6.6863233055299985e-09,1.2223529989121002e-08,3.0405932273110014e-07,1.4300173137460002e-08
1981,4,6.683082630880002e-09,1.2268965562111996e-08,3.0341263338639987e-07,1.4270291216389998e-08
1981,5,6.67984005671e-09,1.2314409779803997e-08,3.027600453486999e-07,1.424039833511e-08
1981,6,6.676602874959998e-09,1.2359842396231002e-08,3.021078878809e-07,1.421050745344e-08
1981,7,6.651230347520001e-09,1.2371872335322e-08,3.007996481663001e-07,1.4149512893550002e-08
1981,8,6.596587818379999e-09,1.2340561512568002e-08,2.985820038112e-07,1.4046954880729998e-08
1981,9,6.54269093542e-09,1.2309568411427001e-08,2.963911450872e-07,1.3945876512829998e-08
1981,10,6.488797658470001e-09,1.2278572315567004e-08,2.9418820047190005e-07,1.3844777976529994e-08
1981,11,6.434900967270002e-09,1.2247573622805998e-08,2.9199654537660004e-07,1.3743717012820002e-08
1981,12,6.3810117502499994e-09,1.2216571786639e-08,2.898070331315e-07,1.364260714702e-08
1982,1,6.3262369765900005e-09,1.2185067428900003e-08,2.8757729679759986e-07,1.3539897752880002e-08
1982,2,6.27410776541e-09,1.2155089684505996e-08,2.8545938693229995e-07,1.3442105971590003e-08
1982,3,6.2219822218400004e-09,1.2125106832288999e-08,2.833429535993e-07,1.3344333843610002e-08
1982,4,6.1680905553e-09,1.209410384541e-08,2.8116188444429987e-07,1.324325188728e-08
1982,5,6.114198124280001e-09,1.2063101972110998e-08,2.789748542533e-07,1.3142168083219998e-08
1982,6,6.06030510386e-09,1.2032105918748999e-08,2.76788225106e-07,1.3041094002429991e-08
1982,7,6.027982413339999e-09,1.2022321497872e-08,2.755008066975e-07,1.2981044111769999e-08
1982,8,6.02408841304e-09,1.2040855101405994e-08,2.7536754609379995e-07,1.2975172463809995e-08
1982,9,6.020420028629999e-09,1.2059258583508e-08,2.752376813458001e-07,1.296969777705e-08
1982,10,6.016744626750001e-09,1.2077645513455001e-08,2.7509560013369996e-07,1.2964199468819998e-08
1982,11,6.0130786383299995e-09,1.2096040029178001e-08,2.7496502034359994e-07,1.2958713629940001e-08
1982,12,6.009410349450001e-09,1.2114432476625002e-08,2.7483590941119995e-07,1.2953237119920003e-08
1983,1,6.00567391368e-09,1.2133141526229e-08,2.7469976128710004e-07,1.2947650792909996e-08
1983,2,6.00212858807e-09,1.2150928576959004e-08,2.745752801152e-07,1.294237807357e-08
1983,3,5.9985676733600015e-09,1.2168726158878e-08,2.7445193379639996e-07,1.29370626768e-08
1983,4,5.99491040229e-09,1.2187111245153999e-08,2.743316461620999e-07,1.2931597014120003e-08
1983,5,5.9912390085600006e-09,1.2205509034075e-08,2.742053404845999e-07,1.292609645355e-08
1983,6,5.98756701487e-09,1.2223907182435e-08,2.7407941516719993e-07,1.2920596414550002e-08
1983,7,5.997098846079999e-09,1.2249395923804e-08,2.741463568931e-07,1.292340435631e-08
1983,8,6.025051393120001e-09,1.2285115660891997e-08,2.74448375645e-07,1.2937702151990005e-08
1983,9,6.05267605639e-09,1.2320327738011e-08,2.747412032509e-07,1.2951829458610002e-08
1983,10,6.080299774569999e-09,1.2355542244904998e-08,2.750220467596e-07,1.2965999460760003e-08
1983,11,6.1079256482900004e-09,1.2390749260863001e-08,2.753144410738e-07,1.298011096502e-08
1983,12,6.135548129259999e-09,1.2425968021500004e-08,2.7561015700280003e-07,1.2994269594399998e-08
1984,1,6.1636265550899995e-09,1.2461761752380006e-08,2.7591966650909995e-07,1.300863807824e-08
1984,2,6.190798495520001e-09,1.2496391273603005e-08,2.7621068605179994e-07,1.3022523600019995e-08
1984,3,6.2179700539e-09,1.2531026984981998e-08,2.7650224953469995e-07,1.303644671022e-08
1984,4,6.245597177919998e-09,1.2566237275123e-08,2.7680368472170004e-07,1.3050596594919995e-08
1984,5,6.2732175915399996e-09,1.2601452118796002e-08,2.7710049112710015e-07,1.3064728501020002e-08
1984,6,6.30084186462e-09,1.2636663759706004e-08,2.7739822748430004e-07,1.30788825331e-08
1984,7,6.289764736299999e-09,1.2634967823908999e-08,2.774887790032e-07,1.3082657534560002e-08
