Date,BCEMAN Monthly Sum
1980-01-01,6.71986567808e-09
1980-02-01,6.7186938207200005e-09
1980-03-01,6.71763338085e-09
1980-04-01,6.716440800970002e-09
1980-05-01,6.71534418039e-09
1980-06-01,6.714176169940001e-09
1980-07-01,6.71211889459e-09
1980-08-01,6.7088304711499995e-09
1980-09-01,6.7055935920000006e-09
1980-10-01,6.702351493989999e-09
1980-11-01,6.69911109049e-09
1980-12-01,6.69587134768e-09
1981-01-01,6.692581027309998e-09
1981-02-01,6.689447733920002e-09
1981-03-01,6.6863233055299985e-09
1981-04-01,6.683082630880002e-09
1981-05-01,6.67984005671e-09
1981-06-01,6.676602874959998e-09
1981-07-01,6.651230347520001e-09
1981-08-01,6.596587818379999e-09
1981-09-01,6.54269093542e-09
1981-10-01,6.488797658470001e-09
1981-11-01,6.434900967270002e-09
1981-12-01,6.3810117502499994e-09
1982-01-01,6.3262369765900005e-09
1982-02-01,6.27410776541e-09
1982-03-01,6.2219822218400004e-09
1982-04-01,6.1680905553e-09
1982-05-01,6.114198124280001e-09
1982-06-01,6.06030510386e-09
1982-07-01,6.027982413339999e-09
1982-08-01,6.02408841304e-09
1982-09-01,6.020420028629999e-09
1982-10-01,6.016744626750001e-09
1982-11-01,6.0130786383299995e-09
1982-12-01,6.009410349450001e-09
1983-01-01,6.00567391368e-09
1983-02-01,6.00212858807e-09
1983-03-01,5.9985676733600015e-09
1983-04-01,5.99491040229e-09
1983-05-01,5.9912390085600006e-09
1983-06-01,5.98756701487e-09
1983-07-01,5.997098846079999e-09
1983-08-01,6.025051393120001e-09
1983-09-01,6.05267605639e-09
1983-10-01,6.080299774569999e-09
1983-11-01,6.1079256482900004e-09
1983-12-01,6.135548129259999e-09
1984-01-01,6.1636265550899995e-09
1984-02-01,6.190798495520001e-09
1984-03-01,6.2179700539e-09
1984-04-01,6.245597177919998e-09
1984-05-01,6.2732175915399996e-09
1984-06-01,6.30084186462e-09
1984-07-01,6.289764736299999e-09
1984-08-01,6.2296016631599975e-09
1984-09-01,6.17022643253e-09
1984-10-01,6.110846584969999e-09
1984-11-01,6.05146727281e-09
1984-12-01,5.9920890910400006e-09
1985-01-01,5.93173881276e-09
1985-02-01,5.8743022949899976e-09
1985-03-01,5.81687039917e-09
1985-04-01,5.757487608989998e-09
1985-05-01,5.6981126949799975e-09
1985-06-01,5.638742683499999e-09
1985-07-01,5.592486974109999e-09
1985-08-01,5.562596677799999e-09
1985-09-01,5.533257435839999e-09
1985-10-01,5.503921657640001e-09
1985-11-01,5.47459138783e-09
1985-12-01,5.445252701890002e-09
1986-01-01,5.415434211359999e-09
1986-02-01,5.38706316765e-09
1986-03-01,5.3586963109499996e-09
1986-04-01,5.3293615921e-09
1986-05-01,5.300026953689999e-09
1986-06-01,5.270687494560001e-09
1986-07-01,5.251864465059999e-09
1986-08-01,5.24683761947e-09
1986-09-01,5.241971963250001e-09
1986-10-01,5.2371067841899995e-09
1986-11-01,5.232240196059999e-09
1986-12-01,5.227375117119997e-09
1987-01-01,5.22242642839e-09
1987-02-01,5.2177200350399995e-09
1987-03-01,5.2130151388600005e-09
1987-04-01,5.208148654060001e-09
1987-05-01,5.203286129459998e-09
1987-06-01,5.1984162173600014e-09
1987-07-01,5.199666830530001e-09
1987-08-01,5.209392781189998e-09
1987-09-01,5.219014724289999e-09
1987-10-01,5.228640556710001e-09
1987-11-01,5.2382632954800005e-09
1987-12-01,5.24788687778e-09
1988-01-01,5.2576668811700005e-09
1988-02-01,5.267137084900001e-09
1988-03-01,5.276603790399999e-09
1988-04-01,5.2862248283600005e-09
1988-05-01,5.295849883830001e-09
1988-06-01,5.305473287399998e-09
1988-07-01,5.314075226239998e-09
1988-08-01,5.32152082347e-09
1988-09-01,5.328845747250001e-09
1988-10-01,5.336166531159998e-09
1988-11-01,5.34348846155e-09
1988-12-01,5.350812912100001e-09
1989-01-01,5.35825216011e-09
1989-02-01,5.36533488184e-09
1989-03-01,5.372418263439998e-09
1989-04-01,5.379739873160001e-09
1989-05-01,5.387062191510001e-09
1989-06-01,5.3943848029300015e-09
1989-07-01,5.379868954540003e-09
1989-08-01,5.336663893109999e-09
1989-09-01,5.29402526224e-09
1989-10-01,5.25139527853e-09
1989-11-01,5.20874825841e-09
1989-12-01,5.16611469969e-09
1990-01-01,5.12277934677e-09
1990-02-01,5.081542556759999e-09
1990-03-01,5.04029186782e-09
1990-04-01,4.99765864386e-09
1990-05-01,4.955019213800001e-09
1990-06-01,4.9123786286800016e-09
1990-07-01,4.8632010250200015e-09
1990-08-01,4.80444046374e-09
1990-09-01,4.74657553829e-09
1990-10-01,4.68871871902e-09
1990-11-01,4.630849857569999e-09
1990-12-01,4.572984221760001e-09
1991-01-01,4.51417516901e-09
1991-02-01,4.4582046178600015e-09
1991-03-01,4.4022386326600025e-09
1991-04-01,4.344373129970001e-09
1991-05-01,4.28650770977e-09
1991-06-01,4.22864288217e-09
1991-07-01,4.201112896909999e-09
1991-08-01,4.2150712345e-09
1991-09-01,4.22908672518e-09
1991-10-01,4.243102299220003e-09
1991-11-01,4.2571167698e-09
1991-12-01,4.271132750099999e-09
1992-01-01,4.285379211549998e-09
1992-02-01,4.299162578430001e-09
1992-03-01,4.31294744535e-09
1992-04-01,4.326964744919999e-09
1992-05-01,4.340977440960001e-09
1992-06-01,4.354995105350001e-09
1992-07-01,4.36345919626e-09
1992-08-01,4.36506241276e-09
1992-09-01,4.36664156814e-09
1992-10-01,4.368175600899999e-09
1992-11-01,4.36970450388e-09
1992-12-01,4.37130140519e-09
1993-01-01,4.37286833053e-09
1993-02-01,4.37434519761e-09
1993-03-01,4.37587012168e-09
1993-04-01,4.3774179954299985e-09
1993-05-01,4.378971087139999e-09
1993-06-01,4.3805280359100004e-09
1993-07-01,4.38161355795e-09
1993-08-01,4.38212181473e-09
1993-09-01,4.382616380920001e-09
1993-10-01,4.383110291869999e-09
1993-11-01,4.3836105910100015e-09
1993-12-01,4.384102320609998e-09
1994-01-01,4.384607177179998e-09
1994-02-01,4.3850898306000005e-09
1994-03-01,4.3855691950899985e-09
1994-04-01,4.386061080509998e-09
1994-05-01,4.386558573340001e-09
1994-06-01,4.387056556950001e-09
1994-07-01,4.3893778729199995e-09
1994-08-01,4.394205179529999e-09
1994-09-01,4.39896493706e-09
1994-10-01,4.40372528234e-09
1994-11-01,4.4084820286100005e-09
1994-12-01,4.4132440989699984e-09
1995-01-01,4.41808376e-09
1995-02-01,4.42268358686e-09
1995-03-01,4.427287625959999e-09
1995-04-01,4.432045882880001e-09
1995-05-01,4.4368064129000006e-09
1995-06-01,4.44156236067e-09
1995-07-01,4.4268205095e-09
1995-08-01,4.384865826030001e-09
1995-09-01,4.343410914129999e-09
1995-10-01,4.30196257009e-09
1995-11-01,4.26050161111e-09
1995-12-01,4.2190511399299985e-09
1996-01-01,4.17691120586e-09
1996-02-01,4.13613660206e-09
1996-03-01,4.09536216506e-09
1996-04-01,4.0539002196500004e-09
1996-05-01,4.0124484009700004e-09
1996-06-01,3.9709857525700006e-09
1996-07-01,3.951153177889999e-09
1996-08-01,3.9583209785300015e-09
1996-09-01,3.9654745954199996e-09
1996-10-01,3.972624983919999e-09
1996-11-01,3.9797798465200016e-09
1996-12-01,3.986933903110001e-09
1997-01-01,3.9942025793499994e-09
1997-02-01,4.001119825280001e-09
1997-03-01,4.00803912668e-09
1997-04-01,4.0151910587100005e-09
1997-05-01,4.022344431350001e-09
1997-06-01,4.029497612590001e-09
1997-07-01,4.03572849142e-09
1997-08-01,4.0408588545100005e-09
1997-09-01,4.0459029460699995e-09
1997-10-01,4.05094602778e-09
1997-11-01,4.05598812637e-09
1997-12-01,4.061030777690002e-09
1998-01-01,4.06615835022e-09
1998-02-01,4.07103597214e-09
1998-03-01,4.075912742419999e-09
1998-04-01,4.08095691258e-09
1998-05-01,4.08599937424e-09
1998-06-01,4.09104394855e-09
1998-07-01,4.096683837910001e-09
1998-08-01,4.103220439920001e-09
1998-09-01,4.10965325036e-09
1998-10-01,4.11608964529e-09
1998-11-01,4.1225232400499984e-09
1998-12-01,4.1289581318199995e-09
1999-01-01,4.13550056609e-09
