Date,OCEMAN Monthly Sum
1980-01-01,1.1848155541509e-08
1980-02-01,1.1846989465973e-08
1980-03-01,1.1845766266151998e-08
1980-04-01,1.1844551088255e-08
1980-05-01,1.1843323738917004e-08
1980-06-01,1.1842125780110998e-08
1980-07-01,1.1861640755557996e-08
1980-08-01,1.1907723927411003e-08
1980-09-01,1.1953160063893001e-08
1980-10-01,1.199859003053e-08
1980-11-01,1.2044023543878002e-08
1980-12-01,1.2089459490013999e-08
1981-01-01,1.2135646926343e-08
1981-02-01,1.2179591930532004e-08
1981-03-01,1.2223529989121002e-08
1981-04-01,1.2268965562111996e-08
1981-05-01,1.2314409779803997e-08
1981-06-01,1.2359842396231002e-08
1981-07-01,1.2371872335322e-08
1981-08-01,1.2340561512568002e-08
1981-09-01,1.2309568411427001e-08
1981-10-01,1.2278572315567004e-08
1981-11-01,1.2247573622805998e-08
1981-12-01,1.2216571786639e-08
1982-01-01,1.2185067428900003e-08
1982-02-01,1.2155089684505996e-08
1982-03-01,1.2125106832288999e-08
1982-04-01,1.209410384541e-08
1982-05-01,1.2063101972110998e-08
1982-06-01,1.2032105918748999e-08
1982-07-01,1.2022321497872e-08
1982-08-01,1.2040855101405994e-08
1982-09-01,1.2059258583508e-08
1982-10-01,1.2077645513455001e-08
1982-11-01,1.2096040029178001e-08
1982-12-01,1.2114432476625002e-08
1983-01-01,1.2133141526229e-08
1983-02-01,1.2150928576959004e-08
1983-03-01,1.2168726158878e-08
1983-04-01,1.2187111245153999e-08
1983-05-01,1.2205509034075e-08
1983-06-01,1.2223907182435e-08
1983-07-01,1.2249395923804e-08
1983-08-01,1.2285115660891997e-08
1983-09-01,1.2320327738011e-08
1983-10-01,1.2355542244904998e-08
1983-11-01,1.2390749260863001e-08
1983-12-01,1.2425968021500004e-08
1984-01-01,1.2461761752380006e-08
1984-02-01,1.2496391273603005e-08
1984-03-01,1.2531026984981998e-08
1984-04-01,1.2566237275123e-08
1984-05-01,1.2601452118796002e-08
1984-06-01,1.2636663759706004e-08
1984-07-01,1.2634967823908999e-08
1984-08-01,1.2586564387751004e-08
1984-09-01,1.2538777269783e-08
1984-10-01,1.2490991639733998e-08
1984-11-01,1.2443197282221e-08
1984-12-01,1.2395407188419998e-08
1985-01-01,1.2346826880871e-08
1985-02-01,1.2300607665968e-08
1985-03-01,1.2254392385546001e-08
1985-04-01,1.2206599134605e-08
1985-05-01,1.2158804783505e-08
1985-06-01,1.211101252555e-08
1985-07-01,1.2080190832945996e-08
1985-08-01,1.2070979903836002e-08
1985-09-01,1.206202883654e-08
1985-10-01,1.2053068828042e-08
1985-11-01,1.2044114725165e-08
1985-12-01,1.2035156331328e-08
1986-01-01,1.2026042844431e-08
1986-02-01,1.2017372812613996e-08
1986-03-01,1.2008720047011002e-08
1986-04-01,1.1999747259901e-08
1986-05-01,1.1990801249131e-08
1986-06-01,1.1981830592384998e-08
1986-07-01,1.1982038068455002e-08
1986-08-01,1.1994526940673e-08
1986-09-01,1.2006879530273e-08
1986-10-01,1.2019254718583005e-08
1986-11-01,1.2031612563423002e-08
1986-12-01,1.204398386226e-08
1987-01-01,1.2056540782064e-08
1987-02-01,1.2068499673773004e-08
1987-03-01,1.2080450478724998e-08
1987-04-01,1.2092818323309997e-08
1987-05-01,1.2105173992812996e-08
1987-06-01,1.2117540951470997e-08
1987-07-01,1.2122232690021003e-08
1987-08-01,1.2116371316009002e-08
1987-09-01,1.2110552266594005e-08
1987-10-01,1.2104725248086997e-08
1987-11-01,1.209890196477e-08
1987-12-01,1.2093076131650004e-08
1988-01-01,1.2087155070484995e-08
1988-02-01,1.2081421189408997e-08
1988-03-01,1.2075689247717997e-08
1988-04-01,1.2069881996087997e-08
1988-05-01,1.2064042287336004e-08
1988-06-01,1.2058220874532e-08
1988-07-01,1.2063520112245e-08
1988-08-01,1.2082962943440996e-08
1988-09-01,1.2102151855403004e-08
1988-10-01,1.2121336313902998e-08
1988-11-01,1.2140519947511996e-08
1988-12-01,1.2159700716140004e-08
1989-01-01,1.217920993512e-08
1989-02-01,1.2197753341844002e-08
1989-03-01,1.2216312689587e-08
1989-04-01,1.223549333722e-08
1989-05-01,1.2254678253377003e-08
1989-06-01,1.2273865532048004e-08
1989-07-01,1.2228023143438999e-08
1989-08-01,1.2096700282856999e-08
1989-09-01,1.1967130326915e-08
1989-10-01,1.1837528900916e-08
1989-11-01,1.1707945038804e-08
1989-12-01,1.1578346583429e-08
1990-01-01,1.1446638550965e-08
1990-02-01,1.1321291817447997e-08
1990-03-01,1.1195971971941e-08
1990-04-01,1.1066386793362e-08
1990-05-01,1.0936805976277e-08
1990-06-01,1.0807204488815998e-08
1990-07-01,1.0675415806635e-08
1990-08-01,1.0538494810222998e-08
1990-09-01,1.0403767360608998e-08
1990-10-01,1.0269017081525002e-08
1990-11-01,1.0134299826971003e-08
