Date,SO2EMAN Monthly Sum
1980-01-01,3.158805747505e-07
1980-02-01,3.147535101112e-07
1980-03-01,3.136285290412001e-07
1980-04-01,3.1249088687250005e-07
1980-05-01,3.113471609037e-07
1980-06-01,3.1020439798190005e-07
1980-07-01,3.092936570279001e-07
1980-08-01,3.086310303445e-07
1980-09-01,3.07974473373e-07
1980-10-01,3.0730612262279985e-07
1980-11-01,3.066493123833e-07
1980-12-01,3.0599433899439986e-07
1981-01-01,3.053245008970001e-07
1981-02-01,3.0469084305720003e-07
1981-03-01,3.0405932273110014e-07
1981-04-01,3.0341263338639987e-07
1981-05-01,3.027600453486999e-07
1981-06-01,3.021078878809e-07
1981-07-01,3.007996481663001e-07
1981-08-01,2.985820038112e-07
1981-09-01,2.963911450872e-07
1981-10-01,2.9418820047190005e-07
1981-11-01,2.9199654537660004e-07
1981-12-01,2.898070331315e-07
1982-01-01,2.8757729679759986e-07
1982-02-01,2.8545938693229995e-07
1982-03-01,2.833429535993e-07
1982-04-01,2.8116188444429987e-07
1982-05-01,2.789748542533e-07
1982-06-01,2.76788225106e-07
1982-07-01,2.755008066975e-07
1982-08-01,2.7536754609379995e-07
1982-09-01,2.752376813458001e-07
1982-10-01,2.7509560013369996e-07
1982-11-01,2.7496502034359994e-07
1982-12-01,2.7483590941119995e-07
1983-01-01,2.7469976128710004e-07
1983-02-01,2.745752801152e-07
1983-03-01,2.7445193379639996e-07
1983-04-01,2.743316461620999e-07
1983-05-01,2.742053404845999e-07
1983-06-01,2.7407941516719993e-07
1983-07-01,2.741463568931e-07
1983-08-01,2.74448375645e-07
1983-09-01,2.747412032509e-07
1983-10-01,2.750220467596e-07
1983-11-01,2.753144410738e-07
1983-12-01,2.7561015700280003e-07
1984-01-01,2.7591966650909995e-07
1984-02-01,2.7621068605179994e-07
1984-03-01,2.7650224953469995e-07
1984-04-01,2.7680368472170004e-07
1984-05-01,2.7710049112710015e-07
1984-06-01,2.7739822748430004e-07
1984-07-01,2.774887790032e-07
1984-08-01,2.772854182653999e-07
1984-09-01,2.7707739978579996e-07
1984-10-01,2.768580717398e-07
1984-11-01,2.766508516503001e-07
1984-12-01,2.7644410012720005e-07
1985-01-01,2.762306239197e-07
1985-02-01,2.76034545621e-07
1985-03-01,2.7583863948790003e-07
1985-04-01,2.756395527026e-07
1985-05-01,2.7543797538209995e-07
1985-06-01,2.7523601702959996e-07
1985-07-01,2.7510003702159987e-07
1985-08-01,2.750167502789999e-07
1985-09-01,2.7492830592300003e-07
1985-10-01,2.7483009126519997e-07
1985-11-01,2.7474216649989995e-07
1985-12-01,2.7465599602709995e-07
1986-01-01,2.745638711573e-07
1986-02-01,2.744828357106e-07
1986-03-01,2.7440215537030004e-07
1986-04-01,2.743220305952e-07
1986-05-01,2.742405142862e-07
1986-06-01,2.741603506909001e-07
1986-07-01,2.740472987344999e-07
1986-08-01,2.738603842355e-07
1986-09-01,2.7366917128810004e-07
1986-10-01,2.7346900156559995e-07
1986-11-01,2.732794686136e-07
1986-12-01,2.730907245200999e-07
1987-01-01,2.728925125989e-07
1987-02-01,2.7271391243540004e-07
1987-03-01,2.725342751934999e-07
1987-04-01,2.723515095248e-07
1987-05-01,2.7216805811260004e-07
1987-06-01,2.719867296838e-07
1987-07-01,2.7233062781150013e-07
1987-08-01,2.7338065021789997e-07
1987-09-01,2.7441065404699987e-07
1987-10-01,2.7543453602269986e-07
1987-11-01,2.7646728645890005e-07
1987-12-01,2.775003848199999e-07
1988-01-01,2.785434898817001e-07
1988-02-01,2.7956554854369997e-07
1988-03-01,2.8058546142650004e-07
1988-04-01,2.8162444566949985e-07
1988-05-01,2.826640723764e-07
1988-06-01,2.8370746951930004e-07
1988-07-01,2.840107757036001e-07
1988-08-01,2.8336181273679995e-07
1988-09-01,2.827118129586e-07
1988-10-01,2.8205714220960003e-07
1988-11-01,2.8141230076090013e-07
1988-12-01,2.807667781977e-07
1989-01-01,2.8010207530520004e-07
1989-02-01,2.7948492902820005e-07
1989-03-01,2.788638076823e-07
1989-04-01,2.7822400980719995e-07
1989-05-01,2.77585609914e-07
1989-06-01,2.769511030537e-07
1989-07-01,2.759698777625e-07
1989-08-01,2.7450235202379997e-07
1989-09-01,2.7304762229400003e-07
1989-10-01,2.7159039103090003e-07
1989-11-01,2.7014124522819986e-07
1989-12-01,2.6868985477889985e-07
1990-01-01,2.672074552250001e-07
1990-02-01,2.6581330027819985e-07
1990-03-01,2.644153841682001e-07
1990-04-01,2.6297014920809994e-07
1990-05-01,2.615286982981e-07
1990-06-01,2.6009139857429986e-07
1990-07-01,2.587986194938e-07
1990-08-01,2.5766367925410014e-07
1990-09-01,2.5653887516320005e-07
1990-10-01,2.554126999711e-07
1990-11-01,2.5429403294439996e-07
1990-12-01,2.531731939433e-07
1991-01-01,2.520247331021e-07
1991-02-01,2.5095098473129995e-07
1991-03-01,2.4987303587739987e-07
1991-04-01,2.487575230014999e-07
1991-05-01,2.476473108198e-07
1991-06-01,2.465412628701e-07
1991-07-01,2.4560182913790003e-07
1991-08-01,2.448635869116e-07
1991-09-01,2.441290666248e-07
1991-10-01,2.433948278498e-07
1991-11-01,2.42667640598e-07
1991-12-01,2.4193077546449995e-07
1992-01-01,2.4112686602150003e-07
1992-02-01,2.404069505883e-07
1992-03-01,2.396998182892e-07
1992-04-01,2.389728512762e-07
1992-05-01,2.382537752702e-07
1992-06-01,2.3754050301679989e-07
1992-07-01,2.3700853192610003e-07
1992-08-01,2.366995833467e-07
1992-09-01,2.363850481013e-07
1992-10-01,2.3607704466080013e-07
1992-11-01,2.3577220196860014e-07
1992-12-01,2.354683711169001e-07
1993-01-01,2.3515248925580005e-07
1993-02-01,2.3486121342110005e-07
1993-03-01,2.3457472267690005e-07
1993-04-01,2.34270492789e-07
1993-05-01,2.3397316720380007e-07
1993-06-01,2.33683049715e-07
1993-07-01,2.3320420862640015e-07
1993-08-01,2.3247568213249997e-07
1993-09-01,2.3174673696440002e-07
1993-10-01,2.310242555755e-07
1993-11-01,2.3030405049250002e-07
1993-12-01,2.29586294834e-07
1994-01-01,2.288502763152e-07
1994-02-01,2.281567738752e-07
1994-03-01,2.274690985527e-07
1994-04-01,2.2674964147139997e-07
1994-05-01,2.2603699615489997e-07
1994-06-01,2.253319813277e-07
1994-07-01,2.2412064858990002e-07
1994-08-01,2.2221340441479996e-07
1994-09-01,2.203223947145001e-07
1994-10-01,2.1843694449350005e-07
1994-11-01,2.1655306640409999e-07
1994-12-01,2.1467352381040001e-07
1995-01-01,2.1275659125150002e-07
1995-02-01,2.109377474353e-07
1995-03-01,2.091248436187e-07
1995-04-01,2.0724234793260007e-07
1995-05-01,2.053671516453e-07
1995-06-01,2.034992467608e-07
1995-07-01,2.0244840836270002e-07
1995-08-01,2.0251559563369997e-07
1995-09-01,2.0257810557860001e-07
1995-10-01,2.0264702729659996e-07
1995-11-01,2.0271557708250008e-07
1995-12-01,2.0279047503360006e-07
1996-01-01,2.028607232086e-07
1996-02-01,2.0293092800390001e-07
1996-03-01,2.0300899238230005e-07
1996-04-01,2.0307980014790008e-07
1996-05-01,2.031575499263e-07
1996-06-01,2.032428550482e-07
1996-07-01,2.034483229444e-07
1996-08-01,2.038125799188e-07
1996-09-01,2.041602554783e-07
1996-10-01,2.045153481707e-07
1996-11-01,2.0486869298340004e-07
1996-12-01,2.052298323444e-07
1997-01-01,2.055909749615e-07
1997-02-01,2.0593500786139997e-07
1997-03-01,2.0628767651839996e-07
1997-04-01,2.0664320545560005e-07
1997-05-01,2.070064202811001e-07
1997-06-01,2.073771479371e-07
1997-07-01,2.072482882178e-07
1997-08-01,2.0647065468399992e-07
1997-09-01,2.0569142485839999e-07
1997-10-01,2.049194469233e-07
1997-11-01,2.0414473918699998e-07
1997-12-01,2.033795893176001e-07
1998-01-01,2.0259727521940005e-07
1998-02-01,2.018492394796e-07
1998-03-01,2.0111158616079988e-07
1998-04-01,2.0034006522739992e-07
1998-05-01,1.995749891356e-07
1998-06-01,1.988188375556e-07
1998-07-01,1.9776437692600007e-07
1998-08-01,1.9629710524160004e-07
1998-09-01,1.948397672576e-07
1998-10-01,1.933897989316e-07
1998-11-01,1.9193654635760005e-07
1998-12-01,1.904928360962e-07
1999-01-01,1.89017194107e-07
1999-02-01,1.876173368649e-07
1999-03-01,1.862200132415e-07
1999-04-01,1.8477384075140003e-07
1999-05-01,1.8333118043370001e-07
1999-06-01,1.818930647454e-07
1999-07-01,1.806500603946001e-07
1999-08-01,1.7966079437899997e-07
1999-09-01,1.786777550922e-07
1999-10-01,1.7769821635470002e-07
1999-11-01,1.7671986052370004e-07
1999-12-01,1.7574759924070005e-07
2000-01-01,1.7476547739570002e-07
2000-02-01,1.738085302919e-07
2000-03-01,1.7285179138959998e-07
2000-04-01,1.7187805515819993e-07
2000-05-01,1.709072143546e-07
2000-06-01,1.699412058715e-07
2000-07-01,1.6899845834329995e-07
2000-08-01,1.68074632114e-07
2000-09-01,1.6715456035330002e-07
2000-10-01,1.6623851560180002e-07
2000-11-01,1.65323680304e-07
2000-12-01,1.6441453004819998e-07
2001-01-01,1.634963396194e-07
2001-02-01,1.6261633399490007e-07
2001-03-01,1.617366406046e-07
2001-04-01,1.608252719072e-07
2001-05-01,1.5991706753190002e-07
2001-06-01,1.5901332691850002e-07
2001-07-01,1.580958131339e-07
2001-08-01,1.5714926503279998e-07
2001-09-01,1.562071593316e-07
2001-10-01,1.552696292807001e-07
2001-11-01,1.5433329087580002e-07
2001-12-01,1.5340177030989995e-07
2002-01-01,1.5246063198639998e-07
2002-02-01,1.5155943765859994e-07
2002-03-01,1.5065828021830007e-07
2002-04-01,1.497246895009001e-07
2002-05-01,1.4879358071300006e-07
2002-06-01,1.4786672224000002e-07
2002-07-01,1.473254672651e-07
2002-08-01,1.4729827240029994e-07
2002-09-01,1.4726337470450006e-07
2002-10-01,1.4723302280090002e-07
2002-11-01,1.4720395011109994e-07
2002-12-01,1.4717925523310002e-07
2003-01-01,1.471600862988e-07
2003-02-01,1.4713610642369998e-07
2003-03-01,1.4711215546800006e-07
2003-04-01,1.4708507320970002e-07
2003-05-01,1.4706016934570006e-07
2003-06-01,1.4703978089659993e-07
2003-07-01,1.468662185693e-07
2003-08-01,1.4648295147419994e-07
2003-09-01,1.4609431789300005e-07
2003-10-01,1.4570971766570006e-07
2003-11-01,1.4532671378169998e-07
2003-12-01,1.44947638229e-07
2004-01-01,1.4456831207500002e-07
2004-02-01,1.4419562119800007e-07
2004-03-01,1.43822411264e-07
2004-04-01,1.4344066149100005e-07
2004-05-01,1.43061571836e-07
2004-06-01,1.42686143014e-07
2004-07-01,1.4231187010700002e-07
2004-08-01,1.41938425512e-07
2004-09-01,1.4156113392299993e-07
2004-10-01,1.4118851328000002e-07
2004-11-01,1.4081758390599995e-07
2004-12-01,1.4044981118300006e-07
2005-01-01,1.4008248314100004e-07
2005-02-01,1.3972702678719998e-07
2005-03-01,1.3937104033790002e-07
2005-04-01,1.3900011367449999e-07
2005-05-01,1.3863195766150004e-07
2005-06-01,1.382672987461e-07
2005-07-01,1.376295112444e-07
2005-08-01,1.3663094385760006e-07
2005-09-01,1.3563742578079994e-07
2005-10-01,1.3464856371379994e-07
2005-11-01,1.336614294414e-07
2005-12-01,1.326766879222e-07
2006-01-01,1.316827989204e-07
2006-02-01,1.3073116219339998e-07
2006-03-01,1.2977838779180006e-07
2006-04-01,1.2879071506880002e-07
2006-05-01,1.27805253106e-07
2006-06-01,1.2682346629979995e-07
2006-07-01,1.2627045623760007e-07
2006-08-01,1.2629008312879995e-07
