Date,Emissions
1980-01-01,4.437174246077e-08
1980-04-01,4.390062439858999e-08
1980-07-01,4.352439124061e-08
1980-10-01,4.325483787733001e-08
1981-01-01,4.298726348983e-08
1981-04-01,4.272119700494e-08
1981-07-01,4.2142344287109995e-08
1981-10-01,4.1231102136369995e-08
1982-01-01,4.032633756808001e-08
1982-04-01,3.942651397292999e-08
1982-07-01,3.892591435262999e-08
1982-10-01,3.887615021868e-08
1983-01-01,3.882709154327999e-08
1983-04-01,3.877828988222e-08
1983-07-01,3.881293596691001e-08
1983-10-01,3.8940380020179996e-08
1984-01-01,3.906760838848e-08
1984-04-01,3.9194207629039995e-08
1984-07-01,3.922074097904e-08
1984-10-01,3.9139273377939995e-08
1985-01-01,3.9058405822370006e-08
1985-04-01,3.897777784282e-08
1985-07-01,3.891701479965e-08
1985-10-01,3.887884107006e-08
1986-01-01,3.88409910575e-08
1986-04-01,3.8803334163810005e-08
1986-07-01,3.8744588932360004e-08
1986-10-01,3.8663656756459996e-08
1987-01-01,3.858329091764e-08
1987-04-01,3.850336304103e-08
1987-07-01,3.8665622701829996e-08
1987-10-01,3.909576979898001e-08
1988-01-01,3.952534336757e-08
1988-04-01,3.995255972106e-08
1988-07-01,4.0044030355929995e-08
1988-10-01,3.977234275619999e-08
1989-01-01,3.950259040212e-08
1989-04-01,3.9234242666910005e-08
1989-07-01,3.880012743024e-08
1989-10-01,3.819211579447e-08
1990-01-01,3.758842325606e-08
1990-04-01,3.698805287854e-08
1990-07-01,3.6446835160480006e-08
1990-10-01,3.598075521282001e-08
1991-01-01,3.55181171372e-08
1991-04-01,3.505800133693e-08
1991-07-01,3.466899842119e-08
1991-10-01,3.436654977525e-08
1992-01-01,3.406470166235e-08
1992-04-01,3.376449251695e-08
1992-07-01,3.354708005566e-08
1992-10-01,3.342143610596e-08
1993-01-01,3.3296737659830006e-08
1993-04-01,3.3172745042840005e-08
1993-07-01,3.296345370229e-08
1993-10-01,3.266443817125e-08
1994-01-01,3.236753755857e-08
1994-04-01,3.207226388306e-08
1994-07-01,3.153991026097e-08
1994-10-01,3.075464293624e-08
1995-01-01,2.99749118716e-08
1995-04-01,2.919946524558e-08
1995-07-01,2.8802770878769997e-08
1995-10-01,2.8836791301839997e-08
1996-01-01,2.887112051438e-08
1996-04-01,2.8905235352969996e-08
1996-07-01,2.899744445365001e-08
1996-10-01,2.9151163895399994e-08
1997-01-01,2.9303784044310007e-08
1997-04-01,2.9455545088350003e-08
1997-07-01,2.9382715574300002e-08
1997-10-01,2.9065132955999992e-08
1998-01-01,2.8749719510189993e-08
1998-04-01,2.8436017189610006e-08
1998-07-01,2.7981983774679995e-08
1998-10-01,2.7380689182580002e-08
1999-01-01,2.6783690063809994e-08
1999-04-01,2.6189951783449995e-08
1999-07-01,2.5681454052120004e-08
1999-10-01,2.5277552400040002e-08
2000-01-01,2.4874475145920004e-08
2000-04-01,2.447360442058e-08
2000-07-01,2.408830803711e-08
2000-10-01,2.372432963401e-08
2001-01-01,2.3363016267869995e-08
2001-04-01,2.3003679381760005e-08
2001-07-01,2.262879383134e-08
2001-10-01,2.224353619767e-08
2002-01-01,2.186108910883e-08
2002-04-01,2.1480733483370002e-08
2002-07-01,2.1277272617959994e-08
2002-10-01,2.1273241963400003e-08
2003-01-01,2.1269373187499997e-08
2003-04-01,2.1265519807100005e-08
2003-07-01,2.118519356569e-08
2003-10-01,2.1020800721460004e-08
2004-01-01,2.0856640282070002e-08
2004-04-01,2.069337793006e-08
2004-07-01,2.05357723101e-08
2004-10-01,2.0386106352940003e-08
2005-01-01,2.023752773414e-08
2005-04-01,2.0089775150460002e-08
2005-07-01,1.981309394627e-08
2005-10-01,1.9400226747660002e-08
2006-01-01,1.899025397572e-08
2006-04-01,1.858257120004e-08
2006-07-01,1.83703030008e-08
2006-10-01,1.837818234941e-08
2007-01-01,1.8386128846120002e-08
2007-04-01,1.8394035996450003e-08
2007-07-01,1.8193152363679997e-08
2007-10-01,1.7762382272650003e-08
2008-01-01,1.733219133374e-08
2008-04-01,1.69043497646e-08
2008-07-01,1.668119689285e-08
2008-10-01,1.668109676715e-08
2009-01-01,1.668109676715e-08
2009-04-01,1.668109676715e-08
2009-07-01,1.668109676715e-08
2009-10-01,1.668109676715e-08
2010-01-01,1.668109676715e-08
2010-04-01,1.668109676715e-08
2010-07-01,1.668109676715e-08
2010-10-01,1.668109676715e-08
2011-01-01,1.668109676715e-08
2011-04-01,1.668109676715e-08
2011-07-01,1.668109676715e-08
2011-10-01,1.668109676715e-08
2012-01-01,1.668109676715e-08
2012-04-01,1.668109676715e-08
2012-07-01,1.668109676715e-08
2012-10-01,1.668109676715e-08
2013-01-01,1.668109676715e-08
2013-04-01,1.668109676715e-08
2013-07-01,1.668109676715e-08
2013-10-01,1.668109676715e-08
2014-01-01,1.668109676715e-08
2014-04-01,1.668109676715e-08
2014-07-01,1.668109676715e-08
2014-10-01,1.668109676715e-08
2015-01-01,1.668109676715e-08
