Date,Monthly Sum
1980-01-01,1.48423630356e-08
1980-02-01,1.479057478381e-08
1980-03-01,1.4738804641360003e-08
1980-04-01,1.4686164811899995e-08
1980-05-01,1.4633547703589997e-08
1980-06-01,1.45809118831e-08
1980-07-01,1.4538386684909999e-08
1980-08-01,1.450795078759e-08
1980-09-01,1.4478053768110002e-08
1980-10-01,1.444817276553e-08
1980-11-01,1.4418276638960004e-08
1980-12-01,1.4388388472840002e-08
1981-01-01,1.43580016686e-08
1981-02-01,1.432908868377e-08
1981-03-01,1.4300173137460002e-08
1981-04-01,1.4270291216389998e-08
1981-05-01,1.424039833511e-08
1981-06-01,1.421050745344e-08
1981-07-01,1.4149512893550002e-08
1981-08-01,1.4046954880729998e-08
1981-09-01,1.3945876512829998e-08
1981-10-01,1.3844777976529994e-08
1981-11-01,1.3743717012820002e-08
1981-12-01,1.364260714702e-08
1982-01-01,1.3539897752880002e-08
1982-02-01,1.3442105971590003e-08
1982-03-01,1.3344333843610002e-08
1982-04-01,1.324325188728e-08
1982-05-01,1.3142168083219998e-08
1982-06-01,1.3041094002429991e-08
1982-07-01,1.2981044111769999e-08
1982-08-01,1.2975172463809995e-08
1982-09-01,1.296969777705e-08
1982-10-01,1.2964199468819998e-08
1982-11-01,1.2958713629940001e-08
1982-12-01,1.2953237119920003e-08
1983-01-01,1.2947650792909996e-08
1983-02-01,1.294237807357e-08
1983-03-01,1.29370626768e-08
1983-04-01,1.2931597014120003e-08
1983-05-01,1.292609645355e-08
1983-06-01,1.2920596414550002e-08
1983-07-01,1.292340435631e-08
1983-08-01,1.2937702151990005e-08
1983-09-01,1.2951829458610002e-08
1983-10-01,1.2965999460760003e-08
1983-11-01,1.298011096502e-08
1983-12-01,1.2994269594399998e-08
1984-01-01,1.300863807824e-08
1984-02-01,1.3022523600019995e-08
1984-03-01,1.303644671022e-08
1984-04-01,1.3050596594919995e-08
1984-05-01,1.3064728501020002e-08
1984-06-01,1.30788825331e-08
1984-07-01,1.3082657534560002e-08
1984-08-01,1.307357004429e-08
1984-09-01,1.306451340019e-08
1984-10-01,1.3055494120640001e-08
1984-11-01,1.3046397298409996e-08
1984-12-01,1.303738195889e-08
1985-01-01,1.30282352313e-08
1985-02-01,1.3019448145370004e-08
1985-03-01,1.30107224457e-08
1985-04-01,1.300161552615e-08
1985-05-01,1.2992602337110004e-08
1985-06-01,1.2983559979559999e-08
1985-07-01,1.2976618337920004e-08
1985-08-01,1.297230504075e-08
1985-09-01,1.2968091420979995e-08
1985-10-01,1.2963836288580001e-08
1985-11-01,1.295961591215e-08
1985-12-01,1.295538886933e-08
1986-01-01,1.295108810689e-08
1986-02-01,1.2947002192349998e-08
1986-03-01,1.294290075826e-08
1986-04-01,1.2938677066220002e-08
1986-05-01,1.2934447208010002e-08
1986-06-01,1.2930209889579999e-08
1986-07-01,1.2923912095260004e-08
1986-08-01,1.291482732976e-08
1986-09-01,1.290584950734e-08
1986-10-01,1.2896864368869998e-08
1986-11-01,1.2887886452769998e-08
1986-12-01,1.2878905934819998e-08
1987-01-01,1.2869770430040002e-08
1987-02-01,1.28611026473e-08
1987-03-01,1.28524178403e-08
1987-04-01,1.2843438990680004e-08
1987-05-01,1.283445342552e-08
1987-06-01,1.2825470624829993e-08
1987-07-01,1.2840427527479996e-08
1987-08-01,1.2888735074979997e-08
1987-09-01,1.293646009937e-08
1987-10-01,1.2984187034220004e-08
1987-11-01,1.3031931376120004e-08
1987-12-01,1.3079651388640004e-08
1988-01-01,1.3128156611049999e-08
1988-02-01,1.317511380459e-08
1988-03-01,1.322207295193e-08
1988-04-01,1.3269792811880002e-08
1988-05-01,1.3317516184679998e-08
1988-06-01,1.3365250724500001e-08
1988-07-01,1.3378366933759999e-08
1988-08-01,1.3347905710550002e-08
1988-09-01,1.3317757711619994e-08
1988-10-01,1.3287597045030002e-08
1988-11-01,1.3257446992309996e-08
1988-12-01,1.3227298718859992e-08
1989-01-01,1.3196683785629997e-08
1989-02-01,1.316754045138e-08
1989-03-01,1.3138366165109999e-08
1989-04-01,1.3108221881730001e-08
1989-05-01,1.3078069456720002e-08
1989-06-01,1.304795132846e-08
1989-07-01,1.3001500326539998e-08
1989-08-01,1.2933041754609998e-08
1989-09-01,1.2865585349089999e-08
1989-10-01,1.279815779735e-08
1989-11-01,1.2730707275890002e-08
1989-12-01,1.266325072123e-08
1990-01-01,1.2594712309389998e-08
1990-02-01,1.25294770116e-08
1990-03-01,1.2464233935070001e-08
1990-04-01,1.2396797323430005e-08
1990-05-01,1.2329349086799995e-08
1990-06-01,1.2261906468310002e-08
1990-07-01,1.2201222077150002e-08
1990-08-01,1.214865556197e-08
1990-09-01,1.2096957521360002e-08
1990-10-01,1.204527141508e-08
1990-11-01,1.1993589209770005e-08
1990-12-01,1.1941894587970001e-08
1991-01-01,1.1889363801620003e-08
1991-02-01,1.1839377284879996e-08
1991-03-01,1.1789376050700004e-08
1991-04-01,1.173769205978e-08
1991-05-01,1.1685997031589995e-08
1991-06-01,1.1634312245560002e-08
1991-07-01,1.1590281812799998e-08
1991-08-01,1.1556115071320002e-08
1991-09-01,1.152260153707e-08
1991-10-01,1.1489056711620004e-08
1991-11-01,1.1455519104419996e-08
1991-12-01,1.142197395921e-08
1992-01-01,1.138787625089e-08
1992-02-01,1.135490274548e-08
1992-03-01,1.132192266598e-08
1992-04-01,1.1288379207150002e-08
1992-05-01,1.1254827861089995e-08
1992-06-01,1.1221285448710003e-08
1992-07-01,1.119647553554e-08
1992-08-01,1.118227358472e-08
1992-09-01,1.11683309354e-08
1992-10-01,1.1154403221329997e-08
1992-11-01,1.114047346437e-08
1992-12-01,1.1126559420260005e-08
1993-01-01,1.111238422618e-08
1993-02-01,1.1098902613250002e-08
1993-03-01,1.1085450820399999e-08
1993-04-01,1.1071510023920004e-08
1993-05-01,1.1057591356609995e-08
1993-06-01,1.1043643662310003e-08
1993-07-01,1.1021316854370004e-08
1993-08-01,1.098766036125e-08
1993-09-01,1.0954476486669999e-08
1993-10-01,1.092130889703e-08
1993-11-01,1.0888147837920004e-08
1993-12-01,1.0854981436299997e-08
1994-01-01,1.0821260683660002e-08
1994-02-01,1.0789178093959995e-08
1994-03-01,1.0757098780949999e-08
1994-04-01,1.0723926649679998e-08
1994-05-01,1.0690753235039996e-08
1994-06-01,1.0657583998340002e-08
1994-07-01,1.0601252702270003e-08
1994-08-01,1.0512887680099995e-08
1994-09-01,1.0425769878599998e-08
1994-10-01,1.0338663051880001e-08
1994-11-01,1.0251545819779997e-08
1994-12-01,1.0164434064580002e-08
1995-01-01,1.0075904225500004e-08
1995-02-01,9.991627315679996e-09
1995-03-01,9.907380330420003e-09
1995-04-01,9.820268600649996e-09
1995-05-01,9.733156092730001e-09
1995-06-01,9.6460405522e-09
1995-07-01,9.59730716338e-09
1995-08-01,9.600820248669995e-09
1995-09-01,9.604643466720002e-09
1995-10-01,9.60844826721e-09
1995-11-01,9.612267440789998e-09
1995-12-01,9.616075593840002e-09
1996-01-01,9.61995586251e-09
1996-02-01,9.623707923710001e-09
1996-03-01,9.627456728160002e-09
1996-04-01,9.63126367258e-09
1996-05-01,9.635074249879997e-09
1996-06-01,9.638897430509998e-09
1996-07-01,9.648595720060004e-09
1996-08-01,9.665895205680004e-09
1996-09-01,9.68295352791e-09
1996-10-01,9.699998864369996e-09
1996-11-01,9.717056004919996e-09
1996-12-01,9.734109026110002e-09
1997-01-01,9.751439368829998e-09
1997-02-01,9.767926595930003e-09
1997-03-01,9.784418079550002e-09
1997-04-01,9.801471370480004e-09
1997-05-01,9.818500713279996e-09
1997-06-01,9.83557300459e-09
1997-07-01,9.82977595558e-09
1997-08-01,9.7940822308e-09
1997-09-01,9.758857387920004e-09
1997-10-01,9.723610675929999e-09
1997-11-01,9.688386683359996e-09
1997-12-01,9.653135596709999e-09
1998-01-01,9.617325292629997e-09
1998-02-01,9.58324040444e-09
1998-03-01,9.549153813119995e-09
1998-04-01,9.513913811590004e-09
1998-05-01,9.478664883520004e-09
1998-06-01,9.443438494499998e-09
1998-07-01,9.394686024280002e-09
1998-08-01,9.326994625689996e-09
1998-09-01,9.260303124709996e-09
1998-10-01,9.19359124199e-09
1998-11-01,9.12689871075e-09
1998-12-01,9.060199229840002e-09
1999-01-01,8.992403221779998e-09
1999-02-01,8.927899751780003e-09
1999-03-01,8.863387090249995e-09
1999-04-01,8.796682217359999e-09
1999-05-01,8.729975052079999e-09
1999-06-01,8.663294514009997e-09
1999-07-01,8.605827184930002e-09
1999-08-01,8.560204569449999e-09
1999-09-01,8.515422297740003e-09
1999-10-01,8.47065095111e-09
1999-11-01,8.425842866650002e-09
1999-12-01,8.381058582279999e-09
2000-01-01,8.335554318320002e-09
2000-02-01,8.291491431989998e-09
2000-03-01,8.247429395610003e-09
2000-04-01,8.202660864480001e-09
2000-05-01,8.15787343613e-09
2000-06-01,8.11307011997e-09
2000-07-01,8.07025773678e-09
2000-08-01,8.029205029200001e-09
2000-09-01,7.988845271130002e-09
2000-10-01,7.948482304969998e-09
2000-11-01,7.908105780720003e-09
2000-12-01,7.867741548320002e-09
2001-01-01,7.82671861786e-09
2001-02-01,7.78767236269e-09
2001-03-01,7.748625287319998e-09
2001-04-01,7.708264270200001e-09
2001-05-01,7.667899124430002e-09
2001-06-01,7.627515987130001e-09
2001-07-01,7.586119414979997e-09
2001-08-01,7.542699138280001e-09
2001-09-01,7.499975278080003e-09
2001-10-01,7.45723571018e-09
2001-11-01,7.414511450779999e-09
2001-12-01,7.37178903671e-09
2002-01-01,7.32835690583e-09
2002-02-01,7.2870323290699976e-09
2002-03-01,7.245699873930001e-09
2002-04-01,7.202969759760001e-09
2002-05-01,7.1602412664800005e-09
2002-06-01,7.117522457130001e-09
2002-07-01,7.092952553919998e-09
2002-08-01,7.0923687999899986e-09
2002-09-01,7.091951264049998e-09
2002-10-01,7.091509225039999e-09
2002-11-01,7.0910820608900025e-09
2002-12-01,7.090650677470001e-09
2003-01-01,7.090217739549999e-09
2003-02-01,7.08978865738e-09
2003-03-01,7.089366790569998e-09
2003-04-01,7.088940889910002e-09
2003-05-01,7.088507175830001e-09
2003-06-01,7.08807174136e-09
2003-07-01,7.0801184480499995e-09
2003-08-01,7.061658426189999e-09
2003-09-01,7.043416691450002e-09
2003-10-01,7.025170774810003e-09
2003-11-01,7.006939887290003e-09
2003-12-01,6.9886900593600005e-09
2004-01-01,6.9701582407499996e-09
2004-02-01,6.952217127910002e-09
2004-03-01,6.93426491341e-09
2004-04-01,6.916037359190001e-09
2004-05-01,6.8977933257999985e-09
2004-06-01,6.879547245070002e-09
2004-07-01,6.862038902319999e-09
2004-08-01,6.845167697440002e-09
2004-09-01,6.828565710339999e-09
2004-10-01,6.811969909360001e-09
2004-11-01,6.7953682593e-09
2004-12-01,6.778768184280002e-09
2005-01-01,6.761898732839999e-09
2005-02-01,6.74584442782e-09
2005-03-01,6.7297845734799995e-09
2005-04-01,6.7131923766800005e-09
2005-05-01,6.6965964539200006e-09
2005-06-01,6.679986319860001e-09
2005-07-01,6.6506096856899995e-09
2005-08-01,6.604134694380002e-09
2005-09-01,6.5583495661999994e-09
2005-10-01,6.512541828370001e-09
2005-11-01,6.46674618845e-09
2005-12-01,6.420938730840002e-09
2006-01-01,6.374383806179998e-09
2006-02-01,6.3300834074600015e-09
2006-03-01,6.285786762080001e-09
2006-04-01,6.2399850444499996e-09
2006-05-01,6.19419539848e-09
2006-06-01,6.14839075711e-09
2006-07-01,6.1226369905199995e-09
2006-08-01,6.123386176429999e-09
2006-09-01,6.124279833849999e-09
2006-10-01,6.125172080170002e-09
2006-11-01,6.126059042119997e-09
2006-12-01,6.1269512271200025e-09
2007-01-01,6.127851840350001e-09
2007-02-01,6.128710526199999e-09
2007-03-01,6.129566479570001e-09
2007-04-01,6.13045296945e-09
2007-05-01,6.131344367399999e-09
2007-06-01,6.1322386596000025e-09
2007-07-01,6.1125720347599995e-09
2007-08-01,6.064187786859998e-09
2007-09-01,6.016392542059999e-09
2007-10-01,5.968592853230001e-09
2007-11-01,5.920795940380001e-09
2007-12-01,5.87299347904e-09
2008-01-01,5.82441170121e-09
2008-02-01,5.777397008550002e-09
2008-03-01,5.730382623979999e-09
2008-04-01,5.6825863636100005e-09
2008-05-01,5.634782295520001e-09
2008-06-01,5.5869811054699986e-09
2008-07-01,5.56046571475e-09
2008-08-01,5.56036558905e-09
2008-09-01,5.56036558905e-09
2008-10-01,5.56036558905e-09
2008-11-01,5.56036558905e-09
2008-12-01,5.56036558905e-09
2009-01-01,5.56036558905e-09
2009-02-01,5.56036558905e-09
2009-03-01,5.56036558905e-09
2009-04-01,5.56036558905e-09
2009-05-01,5.56036558905e-09
2009-06-01,5.56036558905e-09
2009-07-01,5.56036558905e-09
2009-08-01,5.56036558905e-09
2009-09-01,5.56036558905e-09
2009-10-01,5.56036558905e-09
2009-11-01,5.56036558905e-09
2009-12-01,5.56036558905e-09
2010-01-01,5.56036558905e-09
2010-02-01,5.56036558905e-09
2010-03-01,5.56036558905e-09
2010-04-01,5.56036558905e-09
2010-05-01,5.56036558905e-09
2010-06-01,5.56036558905e-09
2010-07-01,5.56036558905e-09
2010-08-01,5.56036558905e-09
2010-09-01,5.56036558905e-09
2010-10-01,5.56036558905e-09
2010-11-01,5.56036558905e-09
2010-12-01,5.56036558905e-09
2011-01-01,5.56036558905e-09
2011-02-01,5.56036558905e-09
2011-03-01,5.56036558905e-09
2011-04-01,5.56036558905e-09
2011-05-01,5.56036558905e-09
2011-06-01,5.56036558905e-09
2011-07-01,5.56036558905e-09
2011-08-01,5.56036558905e-09
2011-09-01,5.56036558905e-09
2011-10-01,5.56036558905e-09
2011-11-01,5.56036558905e-09
2011-12-01,5.56036558905e-09
2012-01-01,5.56036558905e-09
2012-02-01,5.56036558905e-09
2012-03-01,5.56036558905e-09
2012-04-01,5.56036558905e-09
2012-05-01,5.56036558905e-09
2012-06-01,5.56036558905e-09
2012-07-01,5.56036558905e-09
2012-08-01,5.56036558905e-09
2012-09-01,5.56036558905e-09
2012-10-01,5.56036558905e-09
2012-11-01,5.56036558905e-09
2012-12-01,5.56036558905e-09
2013-01-01,5.56036558905e-09
2013-02-01,5.56036558905e-09
2013-03-01,5.56036558905e-09
2013-04-01,5.56036558905e-09
2013-05-01,5.56036558905e-09
2013-06-01,5.56036558905e-09
2013-07-01,5.56036558905e-09
2013-08-01,5.56036558905e-09
2013-09-01,5.56036558905e-09
2013-10-01,5.56036558905e-09
2013-11-01,5.56036558905e-09
2013-12-01,5.56036558905e-09
2014-01-01,5.56036558905e-09
2014-02-01,5.56036558905e-09
2014-03-01,5.56036558905e-09
2014-04-01,5.56036558905e-09
2014-05-01,5.56036558905e-09
2014-06-01,5.56036558905e-09
2014-07-01,5.56036558905e-09
2014-08-01,5.56036558905e-09
2014-09-01,5.56036558905e-09
2014-10-01,5.56036558905e-09
2014-11-01,5.56036558905e-09
2014-12-01,5.56036558905e-09
2015-01-01,5.56036558905e-09
2015-02-01,5.56036558905e-09
2015-03-01,5.56036558905e-09
2015-04-01,5.56036558905e-09
2015-05-01,5.56036558905e-09
2015-06-01,5.56036558905e-09
2015-07-01,5.56036558905e-09
2015-08-01,5.56036558905e-09
2015-09-01,5.56036558905e-09
2015-10-01,5.56036558905e-09
2015-11-01,5.56036558905e-09
2015-12-01,5.56036558905e-09
2016-01-01,5.56036558905e-09
2016-02-01,5.56036558905e-09
2016-03-01,5.56036558905e-09
2016-04-01,5.56036558905e-09
2016-05-01,5.56036558905e-09
2016-06-01,5.56036558905e-09
2016-07-01,5.56036558905e-09
2016-08-01,5.56036558905e-09
2016-09-01,5.56036558905e-09
2016-10-01,5.56036558905e-09
2016-11-01,5.56036558905e-09
2016-12-01,5.56036558905e-09
2017-01-01,5.56036558905e-09
2017-02-01,5.56036558905e-09
2017-03-01,5.56036558905e-09
2017-04-01,5.56036558905e-09
2017-05-01,5.56036558905e-09
2017-06-01,5.56036558905e-09
2017-07-01,5.56036558905e-09
2017-08-01,5.56036558905e-09
2017-09-01,5.56036558905e-09
2017-10-01,5.56036558905e-09
2017-11-01,5.56036558905e-09
2017-12-01,5.56036558905e-09
2018-01-01,5.56036558905e-09
2018-02-01,5.56036558905e-09
2018-03-01,5.56036558905e-09
2018-04-01,5.56036558905e-09
2018-05-01,5.56036558905e-09
2018-06-01,5.56036558905e-09
2018-07-01,5.56036558905e-09
2018-08-01,5.56036558905e-09
2018-09-01,5.56036558905e-09
2018-10-01,5.56036558905e-09
2018-11-01,5.56036558905e-09
2018-12-01,5.56036558905e-09
2019-01-01,5.56036558905e-09
2019-02-01,5.56036558905e-09
2019-03-01,5.56036558905e-09
2019-04-01,5.56036558905e-09
2019-05-01,5.56036558905e-09
2019-06-01,5.56036558905e-09
2019-07-01,5.56036558905e-09
2019-08-01,5.56036558905e-09
2019-09-01,5.56036558905e-09
2019-10-01,5.56036558905e-09
2019-11-01,5.56036558905e-09
2019-12-01,5.56036558905e-09
2020-01-01,5.56036558905e-09
2020-02-01,5.56036558905e-09
2020-03-01,5.56036558905e-09
2020-04-01,5.56036558905e-09
2020-05-01,5.56036558905e-09
2020-06-01,5.56036558905e-09
2020-07-01,5.56036558905e-09
2020-08-01,5.56036558905e-09
2020-09-01,5.56036558905e-09
2020-10-01,5.56036558905e-09
2020-11-01,5.56036558905e-09
2020-12-01,5.56036558905e-09
2021-01-01,5.56036558905e-09
2021-02-01,5.56036558905e-09
2021-03-01,5.56036558905e-09
2021-04-01,5.56036558905e-09
2021-05-01,5.56036558905e-09
2021-06-01,5.56036558905e-09
2021-07-01,5.56036558905e-09
2021-08-01,5.56036558905e-09
2021-09-01,5.56036558905e-09
2021-10-01,5.56036558905e-09
2021-11-01,5.56036558905e-09
2021-12-01,5.56036558905e-09
2022-01-01,5.56036558905e-09
2022-02-01,5.56036558905e-09
2022-03-01,5.56036558905e-09
2022-04-01,5.56036558905e-09
2022-05-01,5.56036558905e-09
2022-06-01,5.56036558905e-09
2022-07-01,5.56036558905e-09
2022-08-01,5.56036558905e-09
2022-09-01,5.56036558905e-09
2022-10-01,5.56036558905e-09
2022-11-01,5.56036558905e-09
2022-12-01,5.56036558905e-09
2023-01-01,5.56036558905e-09
2023-02-01,5.56036558905e-09
2023-03-01,5.56036558905e-09
2023-04-01,5.56036558905e-09
2023-05-01,5.56036558905e-09
2023-06-01,5.56036558905e-09
2023-07-01,5.56036558905e-09
2023-08-01,5.56036558905e-09
2023-09-01,5.56036558905e-09
2023-10-01,5.56036558905e-09
2023-11-01,5.56036558905e-09
2023-12-01,5.56036558905e-09
