DATE,IPN32411GNQ
1980-01-01,71.5958
1980-04-01,65.9548
1980-07-01,65.6305
1980-10-01,65.3991
1981-01-01,65.6776
1981-04-01,63.5035
1981-07-01,67.6220
1981-10-01,67.5944
1982-01-01,62.2591
1982-04-01,66.1171
1982-07-01,68.3293
1982-10-01,66.6965
1983-01-01,62.8415
1983-04-01,68.2625
1983-07-01,70.2507
1983-10-01,67.0567
1984-01-01,64.7899
1984-04-01,67.7984
1984-07-01,66.0004
1984-10-01,66.6827
1985-01-01,61.0162
1985-04-01,66.7076
1985-07-01,66.3961
1985-10-01,63.4206
1986-01-01,59.9157
1986-04-01,64.4129
1986-07-01,64.8912
1986-10-01,64.1698
1987-01-01,62.7572
1987-04-01,68.2827
1987-07-01,69.2879
1987-10-01,68.8804
1988-01-01,67.7162
1988-04-01,69.5565
1988-07-01,71.3471
1988-10-01,70.8527
1989-01-01,67.2476
1989-04-01,69.5991
1989-07-01,71.3080
1989-10-01,68.3256
1990-01-01,67.1113
1990-04-01,66.9951
1990-07-01,71.4623
1990-10-01,67.9553
1991-01-01,65.3348
1991-04-01,69.7620
1991-07-01,70.9350
1991-10-01,69.0959
1992-01-01,66.1877
1992-04-01,68.0185
1992-07-01,66.5633
1992-10-01,68.2737
1993-01-01,63.9226
1993-04-01,65.6634
1993-07-01,66.1353
1993-10-01,68.9597
1994-01-01,62.9565
1994-04-01,67.7522
1994-07-01,68.7654
1994-10-01,71.3013
1995-01-01,67.8485
1995-04-01,71.0989
1995-07-01,71.8968
1995-10-01,71.4012
1996-01-01,68.2145
1996-04-01,72.3309
1996-07-01,72.9713
1996-10-01,72.8374
1997-01-01,69.3560
1997-04-01,74.9288
1997-07-01,73.9423
1997-10-01,71.8926
1998-01-01,66.5478
1998-04-01,70.6577
1998-07-01,70.5511
1998-10-01,72.0923
1999-01-01,70.3573
1999-04-01,76.7077
1999-07-01,77.3280
1999-10-01,77.3273
2000-01-01,71.7498
2000-04-01,76.0810
2000-07-01,75.0448
2000-10-01,73.7369
2001-01-01,70.4102
2001-04-01,77.3066
2001-07-01,76.4298
2001-10-01,77.6168
2002-01-01,76.4502
2002-04-01,81.2769
2002-07-01,80.5071
2002-10-01,79.7126
2003-01-01,73.9290
2003-04-01,77.3399
2003-07-01,77.5784
2003-10-01,79.2685
2004-01-01,76.5529
2004-04-01,80.9228
2004-07-01,80.9956
2004-10-01,83.8828
2005-01-01,81.2048
2005-04-01,85.1468
2005-07-01,82.4867
2005-10-01,82.8968
2006-01-01,79.7615
2006-04-01,85.9517
2006-07-01,87.4109
2006-10-01,86.9286
2007-01-01,86.0101
2007-04-01,89.6866
2007-07-01,89.4852
2007-10-01,87.1311
2008-01-01,86.2553
2008-04-01,86.5217
2008-07-01,83.4325
2008-10-01,90.0148
2009-01-01,88.4138
2009-04-01,93.4057
2009-07-01,93.3965
2009-10-01,91.8824
2010-01-01,86.5617
2010-04-01,89.9907
2010-07-01,91.2656
2010-10-01,89.4446
2011-01-01,87.2061
2011-04-01,91.1869
2011-07-01,92.0201
2011-10-01,90.4848
2012-01-01,84.9665
2012-04-01,88.3908
2012-07-01,89.9119
2012-10-01,91.4363
2013-01-01,89.8892
2013-04-01,94.5886
2013-07-01,94.6471
2013-10-01,95.2346
2014-01-01,89.6171
2014-04-01,93.8927
2014-07-01,91.2987
2014-10-01,89.4074
2015-01-01,86.0181
2015-04-01,88.9213
2015-07-01,91.1771
2015-10-01,91.7077
2016-01-01,92.5183
2016-04-01,98.1316
2016-07-01,101.1448
2016-10-01,100.8755
2017-01-01,96.6581
2017-04-01,102.1693
2017-07-01,100.7868
2017-10-01,100.3858
2018-01-01,95.4582
2018-04-01,98.1324
2018-07-01,98.3492
2018-10-01,100.5414
2019-01-01,98.5844
2019-04-01,101.8265
2019-07-01,99.9971
2019-10-01,95.4537
2020-01-01,83.4309
2020-04-01,64.9116
2020-07-01,78.0712
2020-10-01,78.0443
2021-01-01,78.3929
2021-04-01,91.0072
2021-07-01,92.7143
2021-10-01,91.5923
2022-01-01,86.2773
2022-04-01,90.0401
2022-07-01,89.2646
2022-10-01,87.7658
2023-01-01,85.3031
2023-04-01,90.7737
2023-07-01,90.8371
2023-10-01,89.3803
