DATE,IPG3251NQ
1980-01-01,77.5957
1980-04-01,76.4706
1980-07-01,71.6239
1980-10-01,75.3367
1981-01-01,76.9852
1981-04-01,78.4593
1981-07-01,75.3861
1981-10-01,71.1544
1982-01-01,66.2422
1982-04-01,63.6947
1982-07-01,62.3164
1982-10-01,63.9857
1983-01-01,67.8132
1983-04-01,71.9185
1983-07-01,74.0212
1983-10-01,78.3718
1984-01-01,79.9017
1984-04-01,81.3969
1984-07-01,79.0247
1984-10-01,79.4874
1985-01-01,79.4588
1985-04-01,82.0086
1985-07-01,78.0707
1985-10-01,78.1858
1986-01-01,79.9900
1986-04-01,80.4549
1986-07-01,80.1771
1986-10-01,80.7768
1987-01-01,83.0535
1987-04-01,85.0585
1987-07-01,88.4626
1987-10-01,91.0829
1988-01-01,91.0832
1988-04-01,93.6465
1988-07-01,94.0050
1988-10-01,94.1353
1989-01-01,96.0849
1989-04-01,93.6867
1989-07-01,94.5563
1989-10-01,98.5636
1990-01-01,100.6981
1990-04-01,99.8592
1990-07-01,98.9771
1990-10-01,98.6364
1991-01-01,96.8307
1991-04-01,95.5007
1991-07-01,94.3904
1991-10-01,93.7933
1992-01-01,95.0220
1992-04-01,95.9458
1992-07-01,96.7983
1992-10-01,96.7168
1993-01-01,95.1257
1993-04-01,92.8686
1993-07-01,89.9302
1993-10-01,91.7750
1994-01-01,92.1093
1994-04-01,93.7719
1994-07-01,93.8692
1994-10-01,92.6567
1995-01-01,94.9122
1995-04-01,95.0715
1995-07-01,92.5507
1995-10-01,89.8144
1996-01-01,90.3723
1996-04-01,92.2274
1996-07-01,92.8108
1996-10-01,96.4188
1997-01-01,100.0292
1997-04-01,100.7611
1997-07-01,99.0244
1997-10-01,100.1775
1998-01-01,99.8537
1998-04-01,97.9713
1998-07-01,91.9113
1998-10-01,96.4140
1999-01-01,100.4108
1999-04-01,104.0589
1999-07-01,97.7572
1999-10-01,103.3658
2000-01-01,100.3328
2000-04-01,98.0640
2000-07-01,95.4065
2000-10-01,98.1483
2001-01-01,91.4849
2001-04-01,85.4227
2001-07-01,86.0626
2001-10-01,90.9901
2002-01-01,92.4994
2002-04-01,94.9598
2002-07-01,93.8181
2002-10-01,95.7036
2003-01-01,95.5923
2003-04-01,95.3883
2003-07-01,97.6517
2003-10-01,100.6039
2004-01-01,99.4140
2004-04-01,103.3004
2004-07-01,107.3123
2004-10-01,114.3790
2005-01-01,113.9817
2005-04-01,112.8513
2005-07-01,101.9127
2005-10-01,99.2657
2006-01-01,107.2400
2006-04-01,107.5613
2006-07-01,111.1587
2006-10-01,113.4659
2007-01-01,118.2705
2007-04-01,123.3036
2007-07-01,124.6675
2007-10-01,126.4303
2008-01-01,123.8637
2008-04-01,116.2645
2008-07-01,101.4737
2008-10-01,93.3699
2009-01-01,83.7374
2009-04-01,87.8350
2009-07-01,92.5488
2009-10-01,97.3927
2010-01-01,100.7444
2010-04-01,106.6418
2010-07-01,108.7215
2010-10-01,104.4904
2011-01-01,105.1785
2011-04-01,99.9524
2011-07-01,102.4239
2011-10-01,102.6796
2012-01-01,104.4720
2012-04-01,103.8731
2012-07-01,105.5609
2012-10-01,108.0326
2013-01-01,106.3761
2013-04-01,105.8509
2013-07-01,106.0470
2013-10-01,104.4462
2014-01-01,103.3110
2014-04-01,102.5010
2014-07-01,103.3667
2014-10-01,100.6257
2015-01-01,98.4578
2015-04-01,98.6370
2015-07-01,99.7174
2015-10-01,101.5104
2016-01-01,102.8634
2016-04-01,100.9655
2016-07-01,100.7758
2016-10-01,101.9547
2017-01-01,101.2478
2017-04-01,103.0670
2017-07-01,95.9924
2017-10-01,99.6929
2018-01-01,96.8759
2018-04-01,99.2345
2018-07-01,100.6275
2018-10-01,98.1769
2019-01-01,95.0746
2019-04-01,90.6615
2019-07-01,89.4287
2019-10-01,87.3485
2020-01-01,86.4868
2020-04-01,79.4867
2020-07-01,84.1868
2020-10-01,91.8419
2021-01-01,81.4656
2021-04-01,97.3196
2021-07-01,95.7776
2021-10-01,96.9647
2022-01-01,96.4309
2022-04-01,93.6011
2022-07-01,90.4687
2022-10-01,85.6199
2023-01-01,89.0192
2023-04-01,89.1791
2023-07-01,89.8747
2023-10-01,89.3643
