DATE,IPN32411DNQ
1980-01-01,60.8187
1980-04-01,54.1766
1980-07-01,55.3248
1980-10-01,57.6484
1981-01-01,58.5680
1981-04-01,52.4599
1981-07-01,54.7054
1981-10-01,57.5446
1982-01-01,52.1486
1982-04-01,55.0688
1982-07-01,56.7538
1982-10-01,60.5802
1983-01-01,47.2133
1983-04-01,52.7046
1983-07-01,58.4216
1983-10-01,57.2958
1984-01-01,56.8967
1984-04-01,55.5876
1984-07-01,56.9832
1984-10-01,58.5940
1985-01-01,52.1534
1985-04-01,54.8012
1985-07-01,53.9706
1985-10-01,61.6121
1986-01-01,52.9654
1986-04-01,53.6659
1986-07-01,54.2399
1986-10-01,55.4402
1987-01-01,51.0640
1987-04-01,52.7109
1987-07-01,55.9773
1987-10-01,62.6346
1988-01-01,58.0110
1988-04-01,60.0103
1988-07-01,57.8583
1988-10-01,60.4089
1989-01-01,58.1126
1989-04-01,57.0321
1989-07-01,59.2743
1989-10-01,62.6198
1990-01-01,57.6884
1990-04-01,58.4395
1990-07-01,61.3566
1990-10-01,59.1315
1991-01-01,58.0490
1991-04-01,58.8453
1991-07-01,60.9398
1991-10-01,62.2099
1992-01-01,54.8844
1992-04-01,58.4516
1992-07-01,58.0796
1992-10-01,62.1619
1993-01-01,54.9966
1993-04-01,57.7599
1993-07-01,60.1676
1993-10-01,65.8654
1994-01-01,59.8771
1994-04-01,64.7382
1994-07-01,64.0646
1994-10-01,64.5584
1995-01-01,60.9264
1995-04-01,61.9804
1995-07-01,62.7575
1995-10-01,65.1001
1996-01-01,61.7520
1996-04-01,65.1658
1996-07-01,65.2064
1996-10-01,72.2628
1997-01-01,63.3261
1997-04-01,68.7962
1997-07-01,67.0899
1997-10-01,67.9436
1998-01-01,62.2297
1998-04-01,64.6848
1998-07-01,64.3561
1998-10-01,63.5663
1999-01-01,62.4573
1999-04-01,68.3481
1999-07-01,70.4992
1999-10-01,70.9069
2000-01-01,65.3071
2000-04-01,69.8865
2000-07-01,71.5618
2000-10-01,73.8277
2001-01-01,69.3502
2001-04-01,71.9166
2001-07-01,73.6059
2001-10-01,77.3403
2002-01-01,70.5196
2002-04-01,75.5137
2002-07-01,72.4568
2002-10-01,74.3848
2003-01-01,70.0513
2003-04-01,74.2201
2003-07-01,72.5659
2003-10-01,75.0448
2004-01-01,70.8515
2004-04-01,79.5528
2004-07-01,79.3924
2004-10-01,83.2424
2005-01-01,79.8874
2005-04-01,87.1683
2005-07-01,83.1823
2005-10-01,80.9702
2006-01-01,80.6475
2006-04-01,84.9409
2006-07-01,90.0084
2006-10-01,89.5046
2007-01-01,87.9357
2007-04-01,91.4513
2007-07-01,92.9635
2007-10-01,93.4919
2008-01-01,86.4102
2008-04-01,94.2288
2008-07-01,89.4506
2008-10-01,95.9675
2009-01-01,90.3238
2009-04-01,89.9402
2009-07-01,87.6239
2009-10-01,85.3630
2010-01-01,77.5828
2010-04-01,89.1470
2010-07-01,89.9559
2010-10-01,92.4510
2011-01-01,87.6235
2011-04-01,90.3880
2011-07-01,97.3380
2011-10-01,100.0926
2012-01-01,91.1707
2012-04-01,93.2667
2012-07-01,95.6241
2012-10-01,98.3278
2013-01-01,92.3081
2013-04-01,99.6619
2013-07-01,104.9339
2013-10-01,105.1141
2014-01-01,96.5438
2014-04-01,99.9234
2014-07-01,98.1676
2014-10-01,96.1935
2015-01-01,91.7752
2015-04-01,94.8721
2015-07-01,97.4893
2015-10-01,97.9277
2016-01-01,93.7697
2016-04-01,97.9692
2016-07-01,101.7605
2016-10-01,102.1798
2017-01-01,97.1695
2017-04-01,104.2306
2017-07-01,97.1975
2017-10-01,101.4024
2018-01-01,91.2806
2018-04-01,98.8345
2018-07-01,99.8598
2018-10-01,101.6142
2019-01-01,96.7624
2019-04-01,98.5861
2019-07-01,93.8378
2019-10-01,86.0666
2020-01-01,77.3966
2020-04-01,71.4223
2020-07-01,68.9351
2020-10-01,67.1207
2021-01-01,68.0826
2021-04-01,79.8854
2021-07-01,81.3529
2021-10-01,84.1896
2022-01-01,81.3426
2022-04-01,83.7504
2022-07-01,85.1199
2022-10-01,84.1116
2023-01-01,77.8747
2023-04-01,81.9547
2023-07-01,83.6496
2023-10-01,84.585
