DATE,IPGMFNQ
1980-01-01,46.8011
1980-04-01,45.2897
1980-07-01,43.6180
1980-10-01,45.8501
1981-01-01,45.5869
1981-04-01,46.8100
1981-07-01,45.9659
1981-10-01,44.9629
1982-01-01,43.4888
1982-04-01,44.0849
1982-07-01,43.1031
1982-10-01,42.1893
1983-01-01,42.8646
1983-04-01,45.0602
1983-07-01,46.0001
1983-10-01,47.3557
1984-01-01,48.6915
1984-04-01,50.4069
1984-07-01,50.0364
1984-10-01,50.2917
1985-01-01,50.1457
1985-04-01,51.1106
1985-07-01,50.4560
1985-10-01,50.7328
1986-01-01,51.0658
1986-04-01,52.0593
1986-07-01,51.5463
1986-10-01,52.2338
1987-01-01,52.8662
1987-04-01,54.5511
1987-07-01,54.7568
1987-10-01,56.4972
1988-01-01,56.6773
1988-04-01,58.2742
1988-07-01,57.6106
1988-10-01,58.3480
1989-01-01,58.2143
1989-04-01,59.1109
1989-07-01,57.7662
1989-10-01,57.9295
1990-01-01,58.1079
1990-04-01,59.4644
1990-07-01,59.2829
1990-10-01,58.2619
1991-01-01,56.3890
1991-04-01,57.8958
1991-07-01,58.2512
1991-10-01,58.3668
1992-01-01,58.2753
1992-04-01,60.3835
1992-07-01,60.4017
1992-10-01,61.1580
1993-01-01,61.3120
1993-04-01,62.4680
1993-07-01,62.0357
1993-10-01,63.2953
1994-01-01,63.6910
1994-04-01,66.1910
1994-07-01,66.4840
1994-10-01,68.3966
1995-01-01,68.7109
1995-04-01,69.6004
1995-07-01,69.8468
1995-10-01,70.7402
1996-01-01,70.5507
1996-04-01,73.1813
1996-07-01,74.1742
1996-10-01,75.5528
1997-01-01,76.5459
1997-04-01,78.8215
1997-07-01,79.5652
1997-10-01,83.1892
1998-01-01,83.7243
1998-04-01,84.4469
1998-07-01,84.2992
1998-10-01,87.0866
1999-01-01,87.5692
1999-04-01,89.3078
1999-07-01,88.6475
1999-10-01,91.6504
2000-01-01,92.0689
2000-04-01,94.2020
2000-07-01,92.9011
2000-10-01,93.5100
2001-01-01,91.4625
2001-04-01,91.0674
2001-07-01,88.8449
2001-10-01,88.4750
2002-01-01,88.6773
2002-04-01,91.5787
2002-07-01,90.8686
2002-10-01,91.2591
2003-01-01,91.4026
2003-04-01,92.1067
2003-07-01,91.5089
2003-10-01,93.1571
2004-01-01,93.1789
2004-04-01,95.2066
2004-07-01,95.1184
2004-10-01,96.7365
2005-01-01,97.4712
2005-04-01,100.0148
2005-07-01,98.9663
2005-10-01,100.3381
2006-01-01,100.4174
2006-04-01,102.2466
2006-07-01,102.4613
2006-10-01,102.6619
2007-01-01,102.7488
2007-04-01,106.2546
2007-07-01,106.0108
2007-10-01,105.9483
2008-01-01,104.0959
2008-04-01,104.1984
2008-07-01,99.9167
2008-10-01,93.4249
2009-01-01,86.0931
2009-04-01,85.2725
2009-07-01,87.1845
2009-10-01,88.3757
2010-01-01,89.2302
2010-04-01,93.2532
2010-07-01,93.6542
2010-10-01,93.6218
2011-01-01,93.8923
2011-04-01,95.4220
2011-07-01,95.9993
2011-10-01,96.3794
2012-01-01,97.2823
2012-04-01,98.9975
2012-07-01,98.4324
2012-10-01,98.0557
2013-01-01,98.2847
2013-04-01,100.1360
2013-07-01,99.4953
2013-10-01,99.2267
2014-01-01,98.7419
2014-04-01,101.4040
2014-07-01,101.0554
2014-10-01,100.8308
2015-01-01,99.6837
2015-04-01,101.0011
2015-07-01,100.2049
2015-10-01,99.4177
2016-01-01,98.6808
2016-04-01,100.2109
2016-07-01,99.2488
2016-10-01,99.2698
2017-01-01,98.8750
2017-04-01,100.6339
2017-07-01,99.7936
2017-10-01,100.6975
2018-01-01,100.3231
2018-04-01,102.2681
2018-07-01,101.9768
2018-10-01,101.1262
2019-01-01,99.8589
2019-04-01,100.1045
2019-07-01,99.3341
2019-10-01,98.6741
2020-01-01,97.4991
2020-04-01,85.0104
2020-07-01,93.7994
2020-10-01,95.6289
2021-01-01,95.7947
2021-04-01,98.0317
2021-07-01,97.8441
2021-10-01,98.9435
2022-01-01,100.0904
2022-04-01,101.2973
2022-07-01,100.7738
2022-10-01,99.7213
2023-01-01,99.8591
2023-04-01,100.8269
2023-07-01,99.7677
2023-10-01,99.5117
