DATE,IPG324NQ
1980-01-01,80.5786
1980-04-01,74.4309
1980-07-01,72.7098
1980-10-01,73.2699
1981-01-01,72.1911
1981-04-01,71.1223
1981-07-01,73.0422
1981-10-01,70.7120
1982-01-01,64.3334
1982-04-01,68.6398
1982-07-01,71.7424
1982-10-01,69.6747
1983-01-01,63.6085
1983-04-01,70.6290
1983-07-01,74.4220
1983-10-01,70.2909
1984-01-01,68.1467
1984-04-01,72.4299
1984-07-01,73.6565
1984-10-01,70.7292
1985-01-01,65.1702
1985-04-01,72.0290
1985-07-01,73.3175
1985-10-01,70.2452
1986-01-01,65.2758
1986-04-01,71.2321
1986-07-01,72.8792
1986-10-01,69.8344
1987-01-01,66.6402
1987-04-01,73.3769
1987-07-01,76.8403
1987-10-01,75.7351
1988-01-01,72.1924
1988-04-01,76.0115
1988-07-01,77.8030
1988-10-01,75.5539
1989-01-01,71.1756
1989-04-01,74.6255
1989-07-01,77.8220
1989-10-01,74.8316
1990-01-01,72.1174
1990-04-01,73.9368
1990-07-01,78.8523
1990-10-01,73.8747
1991-01-01,69.3224
1991-04-01,74.4456
1991-07-01,77.0141
1991-10-01,73.7196
1992-01-01,68.6958
1992-04-01,74.7819
1992-07-01,75.5330
1992-10-01,74.1516
1993-01-01,68.5065
1993-04-01,74.3296
1993-07-01,76.3385
1993-10-01,75.9571
1994-01-01,69.0088
1994-04-01,77.6227
1994-07-01,79.0327
1994-10-01,77.7339
1995-01-01,72.9054
1995-04-01,78.1679
1995-07-01,80.7396
1995-10-01,77.0023
1996-01-01,72.9972
1996-04-01,79.6565
1996-07-01,82.4408
1996-10-01,81.0306
1997-01-01,75.8746
1997-04-01,84.6152
1997-07-01,85.2701
1997-10-01,80.8599
1998-01-01,74.5482
1998-04-01,81.5639
1998-07-01,83.5749
1998-10-01,80.6772
1999-01-01,76.9794
1999-04-01,85.2693
1999-07-01,87.1746
1999-10-01,83.6859
2000-01-01,77.9818
2000-04-01,85.3658
2000-07-01,85.4178
2000-10-01,81.3508
2001-01-01,76.7114
2001-04-01,83.8254
2001-07-01,84.6144
2001-10-01,83.0279
2002-01-01,80.9528
2002-04-01,88.7178
2002-07-01,89.5416
2002-10-01,86.6353
2003-01-01,81.0486
2003-04-01,86.0725
2003-07-01,87.0593
2003-10-01,86.3975
2004-01-01,82.3963
2004-04-01,90.9629
2004-07-01,93.5855
2004-10-01,93.6785
2005-01-01,90.1318
2005-04-01,97.2017
2005-07-01,93.5981
2005-10-01,89.4957
2006-01-01,87.8407
2006-04-01,94.7736
2006-07-01,99.1610
2006-10-01,95.1271
2007-01-01,92.8982
2007-04-01,99.2290
2007-07-01,100.1219
2007-10-01,95.2444
2008-01-01,90.3990
2008-04-01,95.7539
2008-07-01,92.5522
2008-10-01,91.6501
2009-01-01,86.3400
2009-04-01,94.1182
2009-07-01,95.6101
2009-10-01,89.4999
2010-01-01,83.8021
2010-04-01,93.3783
2010-07-01,94.4423
2010-10-01,90.6222
2011-01-01,86.1310
2011-04-01,93.6546
2011-07-01,97.4816
2011-10-01,93.2321
2012-01-01,88.2589
2012-04-01,93.8105
2012-07-01,95.2082
2012-10-01,92.6515
2013-01-01,90.9531
2013-04-01,97.5774
2013-07-01,100.3899
2013-10-01,95.7745
2014-01-01,89.4581
2014-04-01,95.0474
2014-07-01,96.2310
2014-10-01,89.9922
2015-01-01,84.8234
2015-04-01,91.1120
2015-07-01,94.3390
2015-10-01,92.4309
2016-01-01,89.4881
2016-04-01,97.9876
2016-07-01,101.8294
2016-10-01,96.9621
2017-01-01,93.1174
2017-04-01,104.4865
2017-07-01,102.5580
2017-10-01,99.8380
2018-01-01,93.7794
2018-04-01,101.3836
2018-07-01,104.1240
2018-10-01,100.2493
2019-01-01,96.3051
2019-04-01,103.6198
2019-07-01,105.0136
2019-10-01,94.5322
2020-01-01,86.6579
2020-04-01,72.7471
2020-07-01,77.5413
2020-10-01,77.5826
2021-01-01,78.4147
2021-04-01,92.2562
2021-07-01,93.3388
2021-10-01,90.8901
2022-01-01,86.4059
2022-04-01,92.1637
2022-07-01,92.3109
2022-10-01,88.4001
2023-01-01,85.2633
2023-04-01,92.4234
2023-07-01,93.6984
2023-10-01,91.5674
