DATE,BOGZ1FU096060015Q
1980-01-01,55795.0
1980-04-01,48609.0
1980-07-01,50431.0
1980-10-01,52005.0
1981-01-01,52988.0
1981-04-01,50024.0
1981-07-01,51280.0
1981-10-01,50419.0
1982-01-01,45365.0
1982-04-01,45820.0
1982-07-01,44647.0
1982-10-01,43100.0
1983-01-01,43496.0
1983-04-01,48325.0
1983-07-01,51179.0
1983-10-01,52605.0
1984-01-01,54810.0
1984-04-01,55102.0
1984-07-01,52960.0
1984-10-01,53279.0
1985-01-01,50961.0
1985-04-01,51148.0
1985-07-01,52079.0
1985-10-01,52442.0
1986-01-01,43667.0
1986-04-01,42807.0
1986-07-01,42726.0
1986-10-01,44314.0
1987-01-01,47922.0
1987-04-01,55154.0
1987-07-01,58928.0
1987-10-01,60915.0
1988-01-01,63056.0
1988-04-01,66655.0
1988-07-01,66470.0
1988-10-01,69697.0
1989-01-01,69654.0
1989-04-01,68291.0
1989-07-01,65708.0
1989-10-01,65750.0
1990-01-01,68200.0
1990-04-01,71256.0
1990-07-01,72294.0
1990-10-01,72087.0
1991-01-01,74875.0
1991-04-01,76148.0
1991-07-01,77609.0
1991-10-01,79025.0
1992-01-01,82451.0
1992-04-01,86139.0
1992-07-01,82163.0
1992-10-01,84014.0
1993-01-01,83660.0
1993-04-01,87251.0
1993-07-01,90526.0
1993-10-01,95611.0
1994-01-01,103317.0
1994-04-01,106881.0
1994-07-01,112370.0
1994-10-01,115782.0
1995-01-01,119387.0
1995-04-01,125329.0
1995-07-01,127327.0
1995-10-01,129238.0
1996-01-01,134301.0
1996-04-01,135073.0
1996-07-01,134320.0
1996-10-01,137736.0
1997-01-01,141095.0
1997-04-01,146130.0
1997-07-01,152055.0
1997-10-01,152986.0
1998-01-01,134798.0
1998-04-01,134602.0
1998-07-01,133818.0
1998-10-01,129770.0
1999-01-01,138116.0
1999-04-01,142144.0
1999-07-01,142319.0
1999-10-01,147748.0
2000-01-01,141261.0
2000-04-01,139831.0
2000-07-01,138543.0
2000-10-01,133341.0
2001-01-01,140721.0
2001-04-01,145445.0
2001-07-01,133027.0
2001-10-01,128178.0
2002-01-01,139617.0
2002-04-01,153640.0
2002-07-01,167370.0
2002-10-01,185575.0
2003-01-01,184865.0
2003-04-01,185656.0
2003-07-01,196259.0
2003-10-01,210042.0
2004-01-01,238694.0
2004-04-01,249292.0
2004-07-01,260625.0
2004-10-01,261430.0
2005-01-01,316604.0
2005-04-01,323182.0
2005-07-01,334801.0
2005-10-01,351885.0
2006-01-01,358345.0
2006-04-01,368201.0
2006-07-01,373834.0
2006-10-01,363087.0
2007-01-01,346100.0
2007-04-01,365622.0
2007-07-01,352417.0
2007-10-01,358238.0
2008-01-01,331409.0
2008-04-01,337003.0
2008-07-01,321098.0
2008-10-01,193318.0
2009-01-01,281479.0
2009-04-01,299841.0
2009-07-01,345598.0
2009-10-01,374813.0
2010-01-01,392741.0
2010-04-01,390195.0
2010-07-01,411632.0
2010-10-01,411875.0
2011-01-01,378459.0
2011-04-01,395037.0
2011-07-01,398039.0
2011-10-01,417896.0
2012-01-01,484122.0
2012-04-01,465030.0
2012-07-01,469638.0
2012-10-01,461990.0
2013-01-01,457817.0
2013-04-01,455962.0
2013-07-01,465655.0
2013-10-01,478314.0
2014-01-01,462040.0
2014-04-01,488145.0
2014-07-01,502758.0
2014-10-01,494421.0
2015-01-01,469259.0
2015-04-01,474733.0
2015-07-01,460747.0
2015-10-01,436682.0
2016-01-01,451475.0
2016-04-01,466354.0
2016-07-01,464387.0
2016-10-01,481710.0
2017-01-01,511417.0
2017-04-01,504963.0
2017-07-01,515376.0
2017-10-01,466208.0
2018-01-01,496747.0
2018-04-01,515821.0
2018-07-01,503587.0
2018-10-01,503990.0
2019-01-01,509690.0
2019-04-01,513013.0
2019-07-01,524870.0
2019-10-01,530036.0
2020-01-01,502409.0
2020-04-01,459380.0
2020-07-01,633737.0
2020-10-01,591867.0
2021-01-01,667967.0
2021-04-01,737695.0
2021-07-01,726896.0
2021-10-01,711955.0
2022-01-01,727473.0
2022-04-01,787184.0
2022-07-01,753372.0
2022-10-01,712521.0
2023-01-01,720261.0
2023-04-01,725715.0
2023-07-01,754451.0
2023-10-01,772372.0
