DATE,LFWA64TTUSQ647N
1980-01-01,142614000
1980-04-01,143142000
1980-07-01,143690000
1980-10-01,144135000
1981-01-01,144625000
1981-04-01,145070300.0
1981-07-01,145499000
1981-10-01,145925300.0
1982-01-01,146310700.0
1982-04-01,146699300.0
1982-07-01,147069000
1982-10-01,147456000
1983-01-01,147805700.0
1983-04-01,148146300.0
1983-07-01,148497000
1983-10-01,148843300.0
1984-01-01,149449000
1984-04-01,149774700.0
1984-07-01,150101700.0
1984-10-01,150473700.0
1985-01-01,150731300.0
1985-04-01,151036700.0
1985-07-01,151343700.0
1985-10-01,151720700.0
1986-01-01,152569300.0
1986-04-01,152888000
1986-07-01,153258000
1986-10-01,153645700.0
1987-01-01,154106700.0
1987-04-01,154485700.0
1987-07-01,154825000
1987-10-01,155160000
1988-01-01,155502000
1988-04-01,155839000
1988-07-01,156205700.0
1988-10-01,156456300.0
1989-01-01,156816700.0
1989-04-01,157060000
1989-07-01,157381000
1989-10-01,157627700.0
1990-01-01,159447300.0
1990-04-01,159722300.0
1990-07-01,160045300.0
1990-10-01,160454000
1991-01-01,160719700.0
1991-04-01,161026300.0
1991-07-01,161364000
1991-10-01,161788700.0
1992-01-01,162074700.0
1992-04-01,162369000
1992-07-01,162801000
1992-10-01,163261700.0
1993-01-01,163609300.0
1993-04-01,163956000
1993-07-01,164385000
1993-10-01,164864300.0
1994-01-01,165234000
1994-04-01,165582300.0
1994-07-01,165951300.0
1994-10-01,166439300.0
1995-01-01,166582700.0
1995-04-01,166903700.0
1995-07-01,167306300.0
1995-10-01,167753300.0
1996-01-01,168093000
1996-04-01,168607000
1996-07-01,169081300.0
1996-10-01,169575700.0
1997-01-01,170458000
1997-04-01,170924000
1997-07-01,171343300.0
1997-10-01,171851000
1998-01-01,172233700.0
1998-04-01,172728300.0
1998-07-01,173183300.0
1998-10-01,173785300.0
1999-01-01,174507700.0
1999-04-01,174988000
1999-07-01,175480000
1999-10-01,176100700.0
2000-01-01,178274300.0
2000-04-01,178789300.0
2000-07-01,179399700.0
2000-10-01,179977700.0
2001-01-01,180499300.0
2001-04-01,181074300.0
2001-07-01,181771000
2001-10-01,182338000
2002-01-01,182898000
2002-04-01,183448000
2002-07-01,184092000
2002-10-01,184609000
2003-01-01,185983300.0
2003-04-01,186586300.0
2003-07-01,187223700.0
2003-10-01,187864300.0
2004-01-01,187892300.0
2004-04-01,188434300.0
2004-07-01,189023700.0
2004-10-01,189642000
2005-01-01,190112700.0
2005-04-01,190664300.0
2005-07-01,191288700.0
2005-10-01,191991000
2006-01-01,192357700.0
2006-04-01,192876000
2006-07-01,193490000
2006-10-01,194082000
2007-01-01,194867700.0
2007-04-01,195352700.0
2007-07-01,195918300.0
2007-10-01,196417300.0
2008-01-01,195939700.0
2008-04-01,196354700.0
2008-07-01,196867000
2008-10-01,197345000
2009-01-01,197190000
2009-04-01,197548300.0
2009-07-01,198032700.0
2009-10-01,198442000
2010-01-01,198548300.0
2010-04-01,198896300.0
2010-07-01,199311700.0
2010-10-01,199736700.0
2011-01-01,199440000
2011-04-01,199802300.0
2011-07-01,200087700.0
2011-10-01,200225700.0
2012-01-01,201204300.0
2012-04-01,201357300.0
2012-07-01,201485300.0
2012-10-01,201614000
2013-01-01,201975000
2013-04-01,202173300.0
2013-07-01,202371000
2013-10-01,202551000
2014-01-01,202676700.0
2014-04-01,202858300.0
2014-07-01,203110300.0
2014-10-01,203303700.0
2015-01-01,203965000
2015-04-01,204139300.0
2015-07-01,204443000.0
2015-10-01,204619700.0
2016-01-01,205156700.0
2016-04-01,205368000.0
2016-07-01,205635700.0
2016-10-01,205850700.0
2017-01-01,205330300.0
2017-04-01,205421300.0
2017-07-01,205644300.0
2017-10-01,205754000.0
2018-01-01,206284300.0
2018-04-01,206404700.0
2018-07-01,206578700.0
2018-10-01,206763300.0
2019-01-01,206164300.0
2019-04-01,206266000.0
2019-07-01,206260000.0
2019-10-01,206389300.0
2020-01-01,205689300.0
2020-04-01,205724700.0
2020-07-01,205726300.0
2020-10-01,205744000.0
2021-01-01,205393300.0
2021-04-01,205291700.0
2021-07-01,205203000.0
2021-10-01,205131300.0
2022-01-01,207374700.0
2022-04-01,207239700.0
2022-07-01,207214000.0
2022-10-01,207226300.0
2023-01-01,208517300.0
2023-04-01,208599000.0
2023-07-01,208737700.0
2023-10-01,208875700.0
