Date,SO2
1980-01-01,9.442626139029001e-07
1980-04-01,9.340424457581001e-07
1980-07-01,9.258991607454e-07
1980-10-01,9.199497740004998e-07
1981-01-01,9.140746666853003e-07
1981-04-01,9.082805666159997e-07
1981-07-01,8.957727970647002e-07
1981-10-01,8.759917789800001e-07
1982-01-01,8.563796373291998e-07
1982-04-01,8.369249638035999e-07
1982-07-01,8.261060341371e-07
1982-10-01,8.248965298884998e-07
1983-01-01,8.237269751987e-07
1983-04-01,8.226164018138996e-07
1983-07-01,8.23335935789e-07
1983-10-01,8.259466448361999e-07
1984-01-01,8.286326020955998e-07
1984-04-01,8.313024033331003e-07
1984-07-01,8.318515970543999e-07
1984-10-01,8.299530235173002e-07
1985-01-01,8.281038090286001e-07
1985-04-01,8.263135451142998e-07
1985-07-01,8.250450932235998e-07
1985-10-01,8.242282537921998e-07
1986-01-01,8.234488622382001e-07
1986-04-01,8.227228955723002e-07
1986-07-01,8.215768542580999e-07
1986-10-01,8.198391946992999e-07
1987-01-01,8.181407002277999e-07
1987-04-01,8.165062973212001e-07
1987-07-01,8.201219320764e-07
1987-10-01,8.294022073015998e-07
1988-01-01,8.386944998519001e-07
1988-04-01,8.479959875651999e-07
1988-07-01,8.500844013990001e-07
1988-10-01,8.442362211682001e-07
1989-01-01,8.384508120157002e-07
1989-04-01,8.327607227749e-07
1989-07-01,8.235198520803e-07
1989-10-01,8.104214910379997e-07
1990-01-01,7.974361396714001e-07
1990-04-01,7.845902460804998e-07
1990-07-01,7.730011739111002e-07
1990-10-01,7.628799268587999e-07
1991-01-01,7.528487537107998e-07
1991-04-01,7.429460966914e-07
1991-07-01,7.345944826743001e-07
1991-10-01,7.279932439122999e-07
1992-01-01,7.21233634899e-07
1992-04-01,7.147671295631999e-07
1992-07-01,7.100931633741e-07
1992-10-01,7.073176177463003e-07
1993-01-01,7.045884253538002e-07
1993-04-01,7.019267097078e-07
1993-07-01,6.974266277233001e-07
1993-10-01,6.90914600902e-07
1994-01-01,6.844761487430999e-07
1994-04-01,6.78118618954e-07
1994-07-01,6.666564477192001e-07
1994-10-01,6.496635347080001e-07
1995-01-01,6.328191823055e-07
1995-04-01,6.161087463387001e-07
1995-07-01,6.07542109575e-07
1995-10-01,6.081530794127001e-07
1996-01-01,6.088006435948001e-07
1996-04-01,6.094802051224001e-07
1996-07-01,6.114211583415e-07
1996-10-01,6.146138734985e-07
1997-01-01,6.178136593412999e-07
1997-04-01,6.210267736738002e-07
1997-07-01,6.194103677602e-07
1997-10-01,6.124437754279e-07
1998-01-01,6.055581008597999e-07
1998-04-01,5.987338919185999e-07
1998-07-01,5.889012494252001e-07
1998-10-01,5.758191813854001e-07
1999-01-01,5.628545442134e-07
1999-04-01,5.499980859305e-07
1999-07-01,5.389886098658e-07
1999-10-01,5.301656761191001e-07
2000-01-01,5.214257990772e-07
2000-04-01,5.127264753842999e-07
2000-07-01,5.042276508106001e-07
2000-10-01,4.95976725954e-07
2001-01-01,4.878493142189001e-07
2001-04-01,4.797556663576e-07
2001-07-01,4.7145223749829997e-07
2001-10-01,4.630046904664001e-07
2002-01-01,4.546783498633e-07
2002-04-01,4.4638499245390014e-07
2002-07-01,4.4188711436990004e-07
2002-10-01,4.4161622814509996e-07
2003-01-01,4.4140834819050006e-07
2003-04-01,4.4118502345200007e-07
2003-07-01,4.3944348793650003e-07
2003-10-01,4.359840696764e-07
2004-01-01,4.3258634453700016e-07
2004-04-01,4.2918837634100004e-07
2004-07-01,4.2581142954199994e-07
2004-10-01,4.22455908369e-07
2005-01-01,4.1918055026610007e-07
2005-04-01,4.1589937008210005e-07
2005-07-01,4.098978808828e-07
